"facility_id","facility","location","town_or_city"
254,"MOFFITT BEACH CAMPGROUND","PAGE ST |OFF ST RTE 8 LAKE PLEASANT 12108","LAKE PLEASANT"
255,"SACANDAGA CAMPGROUND","ST RTE 30 - W SIDE|2 MI S OF WELLS WELLS 12190","WELLS"
256,"MOHAWK RIVER COUNTRY CLUB & CHATEAU","847 RIVERVIEW RD REXFORD 12148","CLIFTON PARK"
257,"Corinth STP","33 Pine St Corinth 12822","CORINTH"
258,"INTERNATIONAL PAPER HUDSON RIVER MILLS DEVELOPMENT","15 PINE ST CORINTH 12822","CORINTH"
259,"GALWAY CENTRAL SCHOOLS","5317 SACANDAGA RD Galway 12074","GALWAY"
260,"SARATOGA CO SEWER DIST #1","1002 HUDSON RIVER RD MECHANICVILLE 12118","HALFMOON"
261,"COTTRELL PAPER COMPANY INC","1135 ROCK CITY RD ROCK CITY FALLS 12863","MILTON"
262,"FOREST HILLS MOBILE HOME PARK","185 PAISLEY RD MILTON 12026","MILTON"
263,"POMPA BROS QUARRY & MILL","5 PETRIFIED GARDENS RD Milton 12866","MILTON"
264,"KENNETH A. KESSELRING SITE","350 ATOMIC PROJECT RD Milton 12020","MILTON"
265,"Essity Professional Hygiene North America LLC","1 River St South Glens Falls 12803","MOREAU"
266,"STILLWATER STP","RUNDLE LN Stillwater 12170","STILLWATER"
267,"LEHIGH CEMENT COMPANY LLC","313 WARREN ST GLENS FALLS 12801","GLENS FALLS"
268,"RUBY MOUNTAIN GARNET MINE","13TH LAKE RD Indian Lake;johnsburg 12856","INDIAN LAKE:JOHNSBURG"
269,"ARGYLE CENTRAL HIGH SCHOOL","5023 ST RTE 40 ARGYLE 12809","ARGYLE"
270,"HOLLINGSWORTH & VOSE-EASTON MILL","3235 CO RTE 113 Easton 12834","EASTON"
271,"FORT ANN STP","CANAL ST FORT ANN 12827","FORT ANN"
272,"NYS GREAT MEADOW CORRECTIONAL FACILITY","ST RTE 22 - E OF US RTE 4 COMSTOCK 12821","FORT ANN"
273,"GREENWICH STP","ROCK St Greenwich 12834","EASTON"
274,"PECKHAM MATERIALS CORP  PLANT 31","438 VAUGHN RD HUDSON FALLS 12839","KINGSBURY"
275,"WHITEHALL CENTRAL SCHOOLS","87 BUCKLEY RD WHITEHALL 12887","WHITEHALL"
276,"GLASCO WASTEWATER TREATMENT PLANT","234 HUDSON ST SAUGERTIES 12477","SAUGERTIES"
277,"MOUNTAIN VIEW APARTMENTS","7 Greenhill Dr Fishkill 12524","FISHKILL"
278,"CHROMALLOY NEW YORK","330 BLAISDELL RD ORANGEBURG 10962","ORANGETOWN"
279,"METRO-NORTH RAILROAD  HARMON YARD","1 CROTON POINT AVE CROTON-ON-HUDSON 10520","CORTLANDT"
280,"LONG BEACH WATER POLLUTION CONTROL PLANT","2 W PINE ST|59-278-29 Long Beach 11561","LONG BEACH"
281,"FREEPORT POWER PLANT #1","220 W SUNRISE HWY FREEPORT 11520","HEMPSTEAD"
282,"LIDO BOULEVARD WELL FIELD","330 LIDO BLVD POINT LOOKOUT 11569","HEMPSTEAD"
283,"South Shore Water Reclamation Facility (formerly know as the Bay Park Sewage Treatment Plant)","2 MARJORIE LN EAST ROCKAWAY 11518","HEMPSTEAD"
284,"CEDAR CREEK WPCP","3340 MERRICK RD & CEDAR CREEK PK WANTAGH 11793","HEMPSTEAD"
285,"ROCKVILLE CENTRE POWER PLANT","110 MAPLE AVE ROCKVILLE CTR 11571","HEMPSTEAD"
286,"PORT WASHINGTON WATER POLLUTION CONTROL PLANT","70 HARBOR RD PORT WASHINGTON 11050","NORTH HEMPSTEAD"
287,"PATCHOGUE STP","1 HAMMOND ST PATCHOGUE 11772","BROOKHAVEN"
288,"SCSD #1 - PORT JEFFERSON STP","500 BEACH ST PORT JEFFERSON 11777","BROOKHAVEN"
289,"NORTHPORT STP","1 KETCHUM PL|SCTM  404-12-1-30,31 NORTHPORT 11768","HUNTINGTON"
290,"CONNETQUOT RIVER STATE PARK","3525 SUNRISE HWY|500-211-1-3, 25 OAKDALE 11769","ISLIP"
291,"UNITED RIVERHEAD TERMINAL","212 SOUND SHORE RD RIVERHEAD 11901","RIVERHEAD"
292,"SAG HARBOR STP","BAY ST SAG HARBOR 11963","SOUTHAMPTON"
293,"PLUM ISLAND ANIMAL DISEASE CTR","PLUM ISLAND PLUM ISLAND 11957","SOUTHOLD"
294,"TILCON - CLINTON POINT QUARRY","SHEAFE RD Poughkeepsie(t) 12601","POUGHKEEPSIE"
295,"PINE HILL WWTP","8811 ST RTE 28 SHANDAKEN 12405","SHANDAKEN"
296,"VILLAGE CREST APTS","510 MALONEY RD & ST RTE 376 POUGHKEEPSIE 12603","WAPPINGER"
297,"SQUIRE GREEN OF PAWLING","WATCHHILL RD|Squires Way & Kings Hwy Pawling 12516","PAWLING"
298,"CHESTERTOWN HWY MAINTENANCE FAC","RTE 8 CHESTERTOWN 12817","CHESTER"
299,"METRO NORTH RAILROAD PORT JERVIS YARD","RIVER RD AT RAIL YARD PORT JERVIS 12771","PORT JERVIS"
300,"GLOBAL COMPANIES - CARGO TERMINAL","1096 RIVER RD NEW WINDSOR 12553","NEW WINDSOR"
301,"GREEN HAVEN CORRECTIONAL FACILITY","594 ST RTE 216 & GREEN HAVEN RD Beekman 12582","BEEKMAN"
302,"KENT MANOR","346 NICHOLS ST CARMEL 10512","KENT"
303,"V-BLOOMINGBURG STP","MAIN ST (OLD RTE 17) BLOOMINGBURG 12721","MAMAKATING"
304,"SHIP LANTERN INN","1725 US RTE 9W MILTON 12547","MARLBOROUGH"
305,"MONROE-V WTP","WOODCOCK RD MONROE 10950","MONROE"
306,"OCSD#1 Harriman Wastewater Treatment Plant","72 RIVER RD Harriman 10926","WOODBURY"
307,"RIFTON TRAINING & RECREATION CENTER","ST RTE 213 (MACADAM RD) RIFTON 12471","ESOPUS"
308,"CROFTON MEWS APARTMENTS","1269 ST RTE 9G HYDE PARK 12538","HYDE PARK"
309,"NYSDOT FISHKILL MAINTENANCE SUB HEADQUARTERS","247 US RTE 9|@ I-84 FISHKILL 12524","FISHKILL"
310,"LOVETT SWM FACILITY","ELM AVE TOMPKINS COVE 10986","STONY POINT"
311,"CLOCK TOWER COMMONS WWTP","ST RTE 22|E Side - N Of Milltown Rd BREWSTER 10509","SOUTHEAST"
312,"FOUR BROTHERS RESTAURANT","3803 RT 9G RHINEBECK 12572","RHINEBECK"
313,"ANTHONY WAYNE STP","HARRIMAN STATE PARK - ANTHONY WAYNE REC AREA|Palisades Is Pkwy Exit 18 Highlands","HIGHLANDS"
314,"LAKE WELCH STP","LAKE WELCH DR LAKE WELCH PARK","STONY POINT"
315,"TWIN LAKES STP","BAILEYTOWN RD OFF US RTE 6|@ TWIN LAKES HARRIMAN STATE PARK","WOODBURY"
316,"LAKE COHASSET BOY'S CAMP","ARDEN VALLEY RD|HARRIMAN STATE PARK TUXEDO","TUXEDO"
317,"INDEPENDENT SEWAGE WORKS INC - THE HIGHLANDS","10 INDEPENDENCE WAY BREWSTER 10509","SOUTHEAST"
318,"Marakill Individualized Residential Alternative","487 St Rte 299 NEW PALTZ 12561","GARDINER"
319,"CALLICOON SEWER DISTRICT","36 VIADUCT RD CALLICOON 12723","DELAWARE"
320,"NEW TWIN LAKES VILLAGE STP","31 REGINA DR|NA-SHO-PA & BURLINGHAM RDS BLOOMINGBURG 12721","MAMAKATING"
321,"GLOBAL COMPANIES - NORTH TERMINAL","1254 RIVER RD|HUDSON RIVER NEW WINDSOR 12553","NEW WINDSOR"
322,"THE POINT RESORT","222 BEAVERWOOD RD SARANAC LAKE 12982","SANTA CLARA"
323,"DILLON FARMS SEWER DISTRICT","HANOVER DR MONTICELLO 12701","THOMPSON"
324,"DALTON FARMS WWTP","21 RECREATION RD POUGHQUAG 12570","BEEKMAN"
325,"RHINEBECK-V WASTEWATER TREATMENT PLANT","ASTOR DR Rhinebeck 12572","RHINEBECK"
326,"FLEURCHEM","33 SPRAGUE AVE MIDDLETOWN 10940","MIDDLETOWN"
327,"QUICKWAY DINER & CUSTARD STAND","RTE 17K BLOOMINGBURG 12721","WALLKILL"
328,"LITTLE FALLS WASTEWATER TREATMENT PLANT","223 RIVER RD E LITTLE FALLS 13365","LITTLE FALLS"
329,"REMARMS LLC","14 HOEFLER AVE ILION 13357","GERMAN FLATTS"
330,"NYS SCHUYLER SERVICE AREA","I-90 - MILE POST 227 WB SCHUYLER 13502","SCHUYLER"
331,"NYS VAN HORNESVILLE STATE FISH HATCHERY","1285 CHYLE RD VAN HORNESVILLE 13475","STARK"
332,"OWEN D YOUNG CENTRAL SCHOOL","2316 ST RTE 80 VAN HORNESVILLE 13475","STARK"
333,"HEIDELBERG JORDANVILLE QUARRY","CO RTE 155 - W SIDE - N OF ST RTE 167 Warren 13361","WARREN"
334,"HOLLYWOOD HILLS CONDOMINIUM","HOLLYWOOD HILLS RD - 2 MIS N OF OLD FORGE OLD FORGE 13420","WEBB"
335,"MT MARKHAM MIDDLE/W WINFIELD ELEM SCHOOL","500 FAIRGROUND RD WEST WINFIELD 13491","WINFIELD"
336,"KNOWLTON TECHNOLOGIES LLC","213 FACTORY ST WATERTOWN 13601","WATERTOWN"
337,"VILLAGE OF ADAMS WWTF","63 LIBERTY ST ADAMS 13605","ADAMS"
338,"GREAT LAKES CHEESE OF NEW YORK INC","23 PHELPS ST ADAMS 13605","ADAMS"
339,"ALEXANDRIA BAY WWTP","35 ANTHONY ST ALEXANDRIA BAY 13607","ALEXANDRIA"
340,"KRING POINT TRAILER PARK","26117 KRING POINT RD REDWOOD 13679","ALEXANDRIA"
341,"NYS KEEWAYDIN STATE PARK","45165 ST RTE 12 ALEXANDRIA BAY 13607","ALEXANDRIA"
342,"NYS KRING POINT STATE PARK","25950 KRING POINT RD ALEXANDRIA BAY 13607","ALEXANDRIA"
343,"WELLESLEY ISLAND TREATMENT PLANT 1","47089 CO RTE 100 - NEAR THOUSAND ISLAND CLUB & RESORT WELLESLEY ISLAND 13690","ALEXANDRIA"
344,"BROWNVILLE STP","STATE ST Brownville 13615","BROWNVILLE"
345,"V-DEXTER STP","WATER ST - S SIDE - W OF LIBERTY ST DEXTER 13634","BROWNVILLE"
346,"CAPE VINCENT SEWAGE TREATMENT PLANT","ELM ST & LAKE ST CAPE VINCENT 13618","CAPE VINCENT"
347,"BETTY'S ISLAND SHADOW INC","33379 ST RTE 12E CAPE VINCENT 13618","CAPE VINCENT"
348,"HEIDELBERG GREAT BEND","23080 CO RTE 47 Champion 13643","CHAMPION"
349,"BIRCH HAVEN CAMPGROUND","38191 ST RTE 12E CLAYTON 13624","CLAYTON"
350,"CALS COTTAGES","16664 CALHOUN RD CLAYTON 13624","CLAYTON"
351,"CLAYTON STP","100 GARDNER ST CLAYTON 13624","CLAYTON"
352,"CLAYTON WATER TREATMENT PLANT","BARTLETT POINT RD Clayton 13624","CLAYTON"
353,"ROOSEVELT TRAILER PARK AND COTTAGES","16353 CALUMET BLVD CLAYTON 13624","CLAYTON"
354,"SOUTHWICK BEACH STATE PARK","8119 Southwicks Pl Ellisburg 13650","ELLISBURG"
355,"HENDERSON CENTRAL SCHOOL","12541 HARBORVIEW DRIVE HENDERSON 13650","HENDERSON"
356,"EVANS MILLS WASTEWATER TREATMENT FAC","8724 NOBLE ST EVANS MILLS 13637","LE RAY"
357,"NYS LONG POINT STATE PARK","24832 LONG POINT DR THREE MILE BAY 13693","LYME"
358,"HP HOOD LAFARGEVILLE PLANT","20700 ST RTE 411 Orleans 13656","ORLEANS"
359,"DEWOLF POINT STATE PARK","WELLESLEY ISLAND|CO RTE 191 ALEXANDRIA BAY 13607","ORLEANS"
360,"ORLEANS THOUSAND ISLAND PARK STP","PARK AVE THOUSAND IS PARK 13692","ORLEANS"
361,"NORTHPOLE FIRE HALL NO 1","22334 US RTE 11  WATERTOWN 13601","PAMELIA"
362,"PHILADELPHIA WWTP","GARDEN ST - N SIDE BY INDIAN R Philadelphia 13673","PHILADELPHIA"
363,"VILLAGE OF THERESA WWTF","124 COMMERCIAL ST Theresa 13691","THERESA"
364,"WATERTOWN (T) SD #1 WWTF","HOLCOMB ST|SUNSET RIDGE WATERTOWN 13601","WATERTOWN"
365,"DEFERIET SEWAGE TREATMENT PLANT","126 RIVERSIDE DR DEFERIET 13628","WILNA"
366,"BEAVER RIVER HIGH SCH","9508 ARTZ RD New Bremen 13305","NEW BREMEN"
367,"Lydall Performance Materials (US), Inc. - BEAVER FALLS","9635 MAIN ST BEAVER FALLS 13305","CROGHAN"
368,"CROGHAN STP","MAIN ST CROGHAN 13327","CROGHAN"
369,"CASTORLAND WASTEWATER TREATMENT FAC","ST RTE 410 - NW SIDE, SW OF RIVER Denmark 13620","DENMARK"
370,"VANDERBILT MINERALS - GOUVERNEUR MINERALS DIV # 4 MINE","14009 Hermitage Road Diana 13648","DIANA"
371,"PORT LEYDEN STP","LINCOLN ST PORT LEYDEN 13433","LEYDEN"
372,"NYS GLENFIELD SEWER DIST","BLUE ST GLENFIELD 13343","MARTINSBURG"
373,"CONSTABLEVILLE STP","St Rte 26 CONSTABLEVILLE 13325","WEST TURIN"
374,"NYS ROME FISH HATCHERY","8306 FISH HATCHERY RD Rome 13440","ROME"
375,"IWG Rome Madison Facility","220 S Madison St Rome 13440","ROME"
376,"WORTHINGTON STEEL - ROME","530 HENRY ST ROME 13440","ROME"
377,"ONEIDA CO WATER POLLUTION CONTROL PLANT","51 LELAND AVE Utica 13502","UTICA"
378,"UTICA COMBINED SEWER OVERFLOWS","SEVERAL LOCATIONS Utica 13502","UTICA"
379,"ORISKANY FALLS WWTP","MILL ST ORISKANY FALLS 13425","AUGUSTA"
380,"BARRETT PAVING BOONVILLE QUARRY","2006 ST RTE 12 BOONVILLE 13309","BOONVILLE:LEYDEN"
381,"BOONVILLE WWTP","3040 MILL CREEK RD BOONVILLE 13309","BOONVILLE"
382,"CAMDEN WASTEWATER TREATMENT PLANT","TABERG ST Camden 13316","CAMDEN"
383,"Omega Wire Inc. - Plant 1","12 MASONIC AVE Camden 13316","CAMDEN"
384,"CLARK MILLS SEWAGE TREATMENT PLANT","TREATMENT PLANT ACCESS ROAD OFF OF WESTMORELAND RD CLARK MILLS 13321","KIRKLAND"
385,"Sunoco Marcy Terminal","9678 RIVER RD Marcy 13403","MARCY"
386,"NEW YORK POWER AUTH CLARK ENERGY CENTER","6520 GLASSFACTORY RD MARCY 13403","MARCY"
387,"HEIDELBERG - ORISKANY FALLS","1780 STATE RTE 12B ORISKANY FALLS 13425","AUGUSTA:MARSHALL"
388,"Waterville STP","St Rte 315 - 0.95 Mi NW of St Rte 12|Bank Stabilization Of Big Creek At Stp Marshall 13480","MARSHALL"
389,"HOLLAND PATENT HIGH SCHOOL","8079 THOMPSON RD HOLLAND PATENT 13354","TRENTON"
390,"Adirondack Ridge","10601 HULSER RD UTICA 13502","TRENTON"
391,"SUNSHINE ESTATES","4768 ST RTE 26 VERNON 13476","VERNON"
392,"MADISON-ONEIDA COUNTIES BOCES","4937 SPRING RD VERONA 13478","VERONA"
393,"EAST ONEIDA LAKE SD WWT FAC","3100 VIENNA RD SYLVAN BEACH 13157","VIENNA"
394,"NYS ONEIDA SERVICE AREA","I-90 THRUWAY MP 244 EB Westmoreland 13490","WESTMORELAND"
395,"HOOSIER MAGNETICS INC","110 DENNY ST Ogdensburg 13669","OGDENSBURG"
396,"OGDENSBURG -C WWT PLANT","RAILROAD ST OGDENSBURG 13669","OGDENSBURG"
397,"BRASHER FALLS SEWER DIST STP","11 FACTORY ST BRASHER FALLS 13613","BRASHER"
398,"CANTON WASTEWATER TREATMENT PLANT","125 SULLIVAN DR|The Project Area Is Located Between The Village Of Canton Wastewater Treatment Plant (Wwtp) And The Grasse River, Mainly Along The Remington Recreation Trail.  Canton 13617","CANTON"
399,"NEWTON FALLS LAND RECLAMATION, LLC","875 CO RTE 60 NEWTON FALLS 13666","CLIFTON"
400,"COLTON STP","SPRING ST COLTON 13625","COLTON"
401,"CORNING INCORPORATED - CANTON PLANT","MCADOO RD|334 CO RTE 16 CANTON 13617","DEKALB"
402,"DEKALB JUNCTION SEWAGE TREATMENT PLT","2907 CO RTE 17 DE KALB JUNCTION 13630","DEKALB"
403,"EDWARDS STP","DEPOT ST Edwards 13635","EDWARDS"
404,"FINE - T WANAKENA SEWER DISTRICT","54 S SHORE RD |E OF SKATE CREEK WANAKENA 13639","FINE"
405,"SUNY ESF Ranger School","257 RANGER SCHOOL RD WANAKENA 13695","FINE"
406,"VANDERBILT MINERALS LLC - GOVERNEUR MINERAL DIVISION","1837 ST RTE 812 Fowler 13642","FOWLER"
407,"SOUTHWEST TECH BOCES","3606 ST RTE 58 (FOWLER RD) BALMAT 13609","FOWLER"
408,"HAMMOND -V SEWAGE TREATMENT PLANT","LAKE ST HAMMOND 13646","HAMMOND"
409,"NORTH COUNTRY DAIRY LLC","22 CO RTE 52 NORTH LAWRENCE 12967","LAWRENCE"
410,"NORTH LAWRENCE & NICHOLVILLE STP","FACTORY ST - N END NORTH LAWRENCE 12967","LAWRENCE"
411,"CASTLE MOBILE HOME PARK","9851 St Rte 56 Massena 13662","LOUISVILLE"
412,"LOUISVILLE LANDING","ST RTE 37 - S SIDE - E OF CO RTE 7 LOUISVILLE 13662","LOUISVILLE"
413,"Arconic US LLC","45 Co Rte 42 Massena 13662","MASSENA"
414,"HOLY NAME OF JESUS ACADEMY","ST RTE 37 - N SIDE AT TRIPPANY RD MASSENA 13662","MASSENA"
415,"ST LAWRENCE POWER PROJECT","ROBERT MOSES POWER DAM|830 BARNHART ISLAND ROAD Massena 13662","MASSENA"
416,"ST LAWRENCE SEAWAY DEVELOP SNELL LOCK ST","145 SNELL LOCK RD MASSENA 13662","MASSENA"
417,"MAINTENANCE BLDG WWTP ON THE GRASSE RIVER","251 FREGOE RD - GRASSE RIVER PORTION OF PROPERTY MASSENA 13662","MASSENA"
418,"ST LAWRENCE SEAWAY EISENHOWER LOCK STP","BARNHART ISLAND RD MASSENA 13662","MASSENA"
419,"WESTBROOK COURTS MOBILE HOME PARK","259 CO RTE 43 MASSENA 13662","LOUISVILLE"
420,"BARRETT PAVING NORWOOD QUARRY","7971 ST RTE 56 - W SIDE - 1 MI N OF BRAY RD Norfolk 13668","NORFOLK"
421,"NORFOLK SD 1","Co Rte 38 Norfolk 13667","NORFOLK"
422,"BOO'S 1000 ISLANDS CAMPGROUND","4707 ST RTE 37 OGDENSBURG 13669","OSWEGATCHIE"
423,"HEUVELTON WATER POLL CTRL PLANT","101 HORSESHOE RD HEUVELTON 13654","OSWEGATCHIE"
424,"MORLEYS MOBILE HOME PARK","6 MORLEY PARK DR OGDENSBURG 13669","OSWEGATCHIE"
425,"MORNING STAR MOBILE VILLAGE","9575 ST RTE 37 OGDENSBURG 13669","LISBON"
426,"WADHAMS HALL SEMINARY","6866 ST RTE 37 OGDENSBURG 13669","OSWEGATCHIE"
427,"PARISHVILLE HOPKINTON CENTRAL SCHOOL DISTRICT","12 CO RTE 47 PARISHVILLE 13672","PARISHVILLE"
428,"GLAZIER PACKING CO","POTSDAM CANTON RD Potsdam 13676","POTSDAM"
429,"POTSDAM WATER POLL CNTL PLANT","115 LOWER CHERRY ST Potsdam 13676","POTSDAM"
430,"WADDINGTON WWTF","PINE ST WADDINGTON 13694","WADDINGTON"
431,"CHELSEA COVE WASTE WATER TREATMENT PLANT","94 MILLER RD HOPEWELL JUNCTION 12533","BEEKMAN"
432,"LAKE STAHAHE WWTP","CAMP S-11 - CO RTE 106 HARRIMAN STATE PARK 10926","TUXEDO"
433,"ELTING'S CORNERS MAINTENANCE FACILITY","24 SOUTH ST CLINTONDALE 12515","LLOYD"
434,"NORTH COUNTRY SCHOOL","4382 CASCADE RD LAKE PLACID 12946","NORTH ELBA"
435,"ELT HARRIMAN LLC (FORMERLY NEPERA INC)","41 ARDEN HOUSE RD HARRIMAN 10926","WOODBURY"
436,"AGRI-MARK INC - CHATEAUGAY PLANT","39 MCCADAM LN Chateaugay 12920","CHATEAUGAY"
437,"NORTHAMPTON SACANDAGA PARK SEWER DIST","ROOSEVELT TER NORTHVILLE 12134","NORTHAMPTON"
438,"GLOBAL COMPANIES - SOUTH TERMINAL","49 RIVER RD NEW WINDSOR 12550","NEW WINDSOR"
439,"PUTNAM NATIONAL GOLF CLUB","187 HILL ST MAHOPAC 10541","CARMEL"
440,"AMERICAN FELT & FILTER CO","WALSH AVE NEW WINDSOR 12553","NEW WINDSOR"
441,"INDIAN KILL WWTP","1 Sylvan Way Tuxedo 10987","TUXEDO"
442,"ANNA DEVINE SCHOOL","1372 OLD POST RD RIFTON 12401","ESOPUS"
443,"RIVERSIDE ESTATES","AVON LODGE RD WOODRIDGE","FALLSBURGH"
444,"BELMONT STP","WILLARD ST & ERIE ST BELMONT 14813","AMITY"
445,"VOSBURG OIL CO","SALT RISING RD BOLIVAR 14715","BOLIVAR"
446,"HOUGHTON SD WWTF","ST RTE 19 AND GENESEE RD OPPOSITE CHAMBERLAIN ST HOUGHTON 14744","CANEADEA"
447,"Great Lakes Cheese - Cuba Plant","4520 Haskell Rd Cuba 14727","CUBA"
448,"CUBA STP","W WATER ST CUBA 14727","CUBA"
449,"Saputo Cheese USA Inc","6701 Co Rd 20 Friendship 14739","FRIENDSHIP"
450,"FRIENDSHIP STP","E WATER ST FRIENDSHIP 14739","FRIENDSHIP"
451,"TOWN OF HUME STP","20 N GENESEE ST FILLMORE 14735","HUME"
452,"WHITESVILLE FIELD","HESELTON GULLY RD INDEPENDENCE 14897","INDEPENDENCE"
453,"OLEAN ADVANCED PRODUCTS","1695 SENECA AVE OLEAN 14760","OLEAN"
454,"FORD BROS WHOLESALE MEATS","9129 US RTE 219|ASHFORD HOLLOW WEST VALLEY 14171","ASHFORD"
455,"NICHOLS RUN OIL FIELD","NICHOLS RUN RD LIMESTONE","CARROLLTON"
456,"LIMESTONE WWTP","625 SPITTLER RD|US RTE 219 & RAILROAD AVE LIMESTONE 14753","CARROLLTON"
457,"COUNTRY SIDE SAND & GRAVEL MINE","8458 US RTE 62 Dayton 14138","DAYTON"
458,"ALLEGANY MOUNTAIN RESORT","6994 PLATO RD EAST OTTO 14729","EAST OTTO"
459,"ELLICOTTVILLE WWTP","US RTE 219 @ GREAT VALLEY CREEK ELLICOTTVILLE 14731","ELLICOTTVILLE"
460,"CAMP SCOUTHAVEN","10784 ST RTE 98|E SIDE @ CRYSTAL LAKE FREEDOM","FREEDOM"
461,"GERNATT ASPHALT PRODUCTS - BEDROCK GRAVEL PIT","4353 HORTON RD GREAT VALLEY 14741","GREAT VALLEY"
462,"LITTLE VALLEY STP","103 ROCK CITY ST EXT LITTLE VALLEY 14755","LITTLE VALLEY"
463,"VOGTLI PLANT","191 Broadway Rd|- W SIDE - S OF HILL ST Gowanda 14070","PERSIA"
464,"MOENCH TANNING CO","465 PALMER ST GOWANDA 14070","PERSIA"
465,"PORTVILLE WASTEWATER TREATMENT PLANT","COWELL ST PORTVILLE 14770","PORTVILLE"
466,"CAMP LI-LO-LI","8811 SUNFISH RUN RD RANDOLPH 14772","RED HOUSE"
467,"NYS ALLEGANY STATE PARK","ENTIRE PARK SALAMANCA 14779","CARROLLTON:COLD SPRING:GREAT VALLEY:RED HOUSE:SALAMANCA:SOUTH VALLEY"
468,"THE HORSESHOE INN OF ONOVILLE","11055 W PERIMETER RD South Valley 14738","SOUTH VALLEY"
469,"HORNING APARTMENTS","6 SOUTH ST DELEVAN 14042","YORKSHIRE"
470,"DUNKIRK CONFERENCE CENTER","3602 E LAKE SHORE DR Dunkirk 14048","DUNKIRK"
471,"FREWSBURG CENTRAL SCHOOL","26 INSTITUTE ST FREWSBURG 14738","CARROLL"
472,"CHARLOTTE VILLA","CORNER OF PARK AND CHURCH STREETS SINCLAIRVILLE 14782","CHARLOTTE"
473,"BAYBERRY LANDING","5301 E LAKE RD DEWITTVILLE 14728","CHAUTAUQUA"
474,"COCKAIGNE SKI AREA","1493 THORNTON RD CHERRY CREEK 14723","CHERRY CREEK"
475,"PINE VALLEY ELEMENTARY SCHOOL","7755 ST RTE 83 SOUTH DAYTON 14138","CHERRY CREEK"
476,"CLYMER CENTRAL SCHOOL","8672 E MAIN ST CLYMER 14724","CLYMER"
477,"VINEYARD CENTRE LLC","10704 BENNETT RD|St Rte 60 - E Side - N Of I-90 DUNKIRK 14048","DUNKIRK"
478,"MAPLE GROVE JR SR HIGH SCH","3980 DUTCH HOLLOW RD ELLERY 14712","ELLERY"
479,"SOUTH & CENTER CHAUTAUQUA LAKE SD WWTP","51 GIFFORD AVE CELORON 14701","ELLICOTT"
480,"Chautauqua Hills Camp","1788 Old Chautauqua Rd Gerry 14740","ELLINGTON"
481,"FORESTVILLE ELEMENTARY SCHOOL","12 WATER ST FORESTVILLE 14062","HANOVER"
482,"COUNTRY ACRES MOBILE HOME PARK","38 SCHOOL ST PANAMA","HARMONY"
483,"2 WEST APARTMENTS","2 W MAIN ST PANAMA 14767","HARMONY"
484,"BELLA VISTA CAMPGROUND LLC","2329 PAGE RD KENNEDY 14747","POLAND"
485,"PINE BLUFF COURTS","2390 US RTE 62 POLAND 13431","POLAND"
486,"FREDONIA WATER FILTRATION PLANT","SPODEN RD & NY RT 60 FREDONIA 14048","POMFRET"
487,"LAKE ERIE MHC","3742 E MAIN RD FREDONIA 14063","POMFRET"
488,"DUNKIRK FLY ASH LANDFILL BORROW MINE","5210 Van Buren Rd Pomfret 14048","POMFRET"
489,"SLIPPERY ROCK MANOR","5772 Ellicott Rd Brocton 14716","PORTLAND"
490,"ST COLUMBAN'S ON THE LAKE","2546 LAKE RD SILVER CREEK 14136","SHERIDAN"
491,"SHERMAN WASTEWATER TREATMENT PLT","30 HART ST SHERMAN 14781","SHERMAN"
492,"BLUE WATER BEACH CAMPGROUND","E LAKE RD WESTFIELD 14787","WESTFIELD"
493,"BROOKSIDE BEACH","W LAKE RD WESTFIELD 14787","WESTFIELD"
494,"EDGEWATER CONDOMINIUM ASSOCIATION","1911 EDGEWATER DR WESTFIELD 14787","WESTFIELD"
495,"BUFFALO WATER PLT & COL WARD PS","JERSEY ST BUFFALO 14202","BUFFALO"
496,"WASHINGTON MILLS TONAWANDA INC","1000 E NIAGARA ST TONAWANDA 14150","TONAWANDA"
497,"ALDEN SD #2 STP","FAIRVIEW & EAST ALAURA DR ALDEN 14004","ALDEN"
498,"ALDEN STP","W MAIN ST ALDEN 14004","ALDEN"
499,"WILLIAMSVILLE - V SANITARY SEWER COLLECTION SYSTEM","W SIDE OF MILL ST @ EDWARD ST WILLIAMSVILLE 14221","AMHERST"
500,"WORLD MISSION SOCIETY CHURCH OF GOD","711 KNOX RD Aurora 14052","AURORA"
501,"DOG BAR HOTEL","1913 DAVIS RD WEST FALLS 14170","AURORA"
502,"EAST AURORA WASTE WATER RESOURCE RECOVERY FACILITY","201 MILL ST EAST AURORA 14052","AURORA"
503,"NYS DOT AURORA SUB RESIDENCY","798 OLEAN RD EAST AURORA 14052","AURORA"
504,"THE GOW SCHOOL","EMERY RD SOUTH WALES 14139","AURORA"
505,"COMO QUARRY","500 COMO PARK BLVD Cheektowaga 14227","CHEEKTOWAGA"
506,"CALSPAN CORP","4455 GENESEE ST BUFFALO 14225","CHEEKTOWAGA"
507,"BISON YARD FACILITY","500 BISON PKWY BUFFALO","CHEEKTOWAGA"
508,"BROTHERS OF MERCY NURSING HOME","10570 BERGTOLD RD CLARENCE 14031","CLARENCE"
509,"10123 MAIN STREET INC","10123 MAIN ST CLARENCE 14031","CLARENCE"
510,"NEW HOPE PRESBYTERIAN CHURCH","6969 STRICKLER RD CLARENCE 14032","CLARENCE"
