"npdes_id","facility_id","application_id","applicant","applicant_id","permit_type","status","date_received","upa_class","seqr_class","seqr_determination","lead_agency","coastal_zone_status","final_disposition","permit_effective_date","permit_expration_date","dec_contact","shpa_status","enivronmental_justice"
"NY0031089",831,"7-4920-00026/00001","VILLAGE OF WAVERLY",703,"Municipal SPDES - Surface Discharge","Continue Permit",2021-08-25,"MAJOR","Unlisted Action","Negative Declaration","DEC","This project is not located in a Coastal Management area.","Continue Existing Permit as Issued",2021-12-01 05:00:00,2026-06-30 04:00:00,"DONALD J KLACZKO",NA,NA
"NY0031216",82,"3-3350-00018/00002","VILLAGE OF TUXEDO PARK",81,"Municipal SPDES - Surface Discharge","Issued",2022-05-18,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-03-01 05:00:00,2028-02-29 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0031224",721,"3-3350-00030/00001","TOWN OF TUXEDO",606,"Municipal SPDES - Surface Discharge","Issued",2023-05-02,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-06-20 04:00:00,2028-05-31 04:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0031232",344,"6-2226-00003/00001","VILLAGE OF BROWNVILLE",288,"Municipal SPDES - Surface Discharge","Issued",2024-03-10,"MAJOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-07-15 04:00:00,2028-07-31 04:00:00,"MOLLY L FARRELL",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0031291",917,"4-1050-00005/00001","TOWN OF STOCKPORT",784,"Municipal SPDES - Surface Discharge","Issued",2024-03-01,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-09-01 04:00:00,2029-08-31 04:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0031313",654,"8-3250-00005/00001","INDIAN VALLEY DEVELOPMENT CORP",551,"P/C/I SPDES - Surface Discharge","Issued",2023-03-17,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-01-01 05:00:00,2028-12-31 05:00:00,"THOMAS A RASCONA",NA,NA
"NY0031356",95,"3-3720-00009/00004","TOWN OF CARMEL",91,"Municipal SPDES - Surface Discharge","Issued",2021-12-29,"MAJOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.","Issued",2023-05-01 04:00:00,2028-04-30 04:00:00,"THOMAS A RASCONA",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0031411",976,"4-3656-00007/00001","VILLAGE OF RICHFIELD SPRINGS",834,"Municipal SPDES - Surface Discharge","Issued",2024-02-29,"MAJOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.","Issued",2024-10-01 04:00:00,2029-09-30 04:00:00,"THOMAS A RASCONA",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0031429",378,"6-3016-00059/00001","CITY OF UTICA",316,"Municipal SPDES - Surface Discharge","Final Decision Due",2024-08-07,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"TERESS BALDWIN",NA,NA
"NY0031461",345,"6-2226-00004/00002","VILLAGE OF DEXTER",289,"Municipal SPDES - Surface Discharge","Issued",2022-03-30,"MAJOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-03-28 04:00:00,2026-08-31 04:00:00,"MIRANDA M GILGORE",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0031526",405,"6-4036-00005/00003","STATE UNIVERSITY OF NEW YORK",341,"Industrial SPDES - Surface Discharge","Issued",2022-10-26,"MAJOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-12-01 05:00:00,2029-11-30 05:00:00,"MIRANDA M GILGORE",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0031534",891,"4-0130-00045/00001","VILLAGE OF ALTAMONT",759,"Municipal SPDES - Surface Discharge","Final Decision Due",2025-01-07,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"TERESS BALDWIN",NA,NA
"NY0031542",1136,"6-2258-00044/00002","WATERTOWN SAND & GRAVEL INC",956,"Industrial SPDES - Surface Discharge","Issued",2022-10-18,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-05-01 04:00:00,2028-04-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0031569",703,"8-5432-00004/00001","TOWN OF MARION",591,"Municipal SPDES - Surface Discharge","Final Decision Due",2024-09-23,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"TERESS BALDWIN",NA,NA
"NY0031658",1264,"3-4899-00021/00001","RALHAL LLC",1059,"P/C/I SPDES - Surface Discharge","Issued",2021-03-23,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-10-27 04:00:00,2026-09-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0031674",215,"3-5538-00139/00002","BYRAM HILLS CENTRAL SCHOOL DISTRICT",185,"P/C/I SPDES - Surface Discharge","Issued",2023-09-28,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-11-22 05:00:00,2028-07-31 04:00:00,"MICHAEL V GROSSO",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0031682",934,"4-1922-00013/00001","1019 Schoharie Turnpike LLC",798,"P/C/I SPDES - Surface Discharge","Issued",2021-02-12,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-11-01 04:00:00,2026-10-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0031691",159,"3-5132-00024/00003","NYS OFFICE OF CHILDREN & FAMILY SERVICES",54,"P/C/I SPDES - Surface Discharge","Issued",2024-01-12,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-07-01 04:00:00,2029-06-30 04:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0031739",1878,"3-1356-00243/00001","CHELSEA DHC LLC",1549,"P/C/I SPDES - Surface Discharge","Issued",2020-06-11,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-04-01 04:00:00,2026-03-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0031844",444,"9-0228-00005/00001","VILLAGE OF BELMONT",369,"Municipal SPDES - Surface Discharge","Issued",2023-08-24,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-07-01 04:00:00,2029-06-30 04:00:00,"KATHERINE M MURRAY",NA,NA
"NY0031925",31,"3-1348-00008/00005","BARD COLLEGE",33,"P/C/I SPDES - Surface Discharge","Issued",2023-11-15,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-09-01 04:00:00,2029-08-31 04:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0032051",518,"9-1442-00008/00002","TOWN OF ELMA",439,"Municipal SPDES - Surface Discharge","Issued",2021-03-02,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-01-01 05:00:00,2026-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0032093",512,"9-1436-00007/00001","VILLAGE OF GOWANDA",435,"Municipal SPDES - Surface Discharge","Suspended Indefinitely",2022-09-21,NA,"Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"MICHAEL R SCHAEFER",NA,NA
"NY0032158",8,"3-1326-00023/00007","DOVER GREENS LLC",8,"P/C/I SPDES - Surface Discharge","Issued",2022-05-04,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-11-01 04:00:00,2027-10-31 04:00:00,"THOMAS A RASCONA",NA,NA
"NY0032174",495,"9-1402-00164/00001","CITY OF BUFFALO",418,"Industrial SPDES - Surface Discharge","Issued",2020-05-28,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-05-01 04:00:00,2026-04-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0032204",231,"5-0928-00005/00003","VILLAGE OF CHAMPLAIN",201,"Municipal SPDES - Surface Discharge","Issued",2024-09-12,"MAJOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2025-03-01 05:00:00,2030-02-28 05:00:00,"ERIN M DONHAUSER",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0032263",76,"3-3348-00011/00002","BT Inc",75,"P/C/I SPDES - Surface Discharge","Issued",2020-10-01,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-04-01 04:00:00,2026-03-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0032409",443,"3-4828-00113/00003","ARTARCH USA LLC",368,"P/C/I SPDES - Surface Discharge","Issued",2021-10-28,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-09-01 04:00:00,2027-08-31 04:00:00,"REBECCA S CRIST",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0032620",743,"7-0348-00024/00001","CITGO PETROLEUM CORP",621,"Industrial SPDES - Surface Discharge","Issued",2022-10-31,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-08-01 04:00:00,2028-07-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0032760",291,"1-4730-00023/00001","UNITED RIVERHEAD TERMINAL INC",251,"Industrial SPDES - Surface Discharge","Issued",2023-08-24,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-03-01 05:00:00,2029-02-28 05:00:00,"KATHERINE M MURRAY",NA,NA
"NY0032816",1320,"2-6302-00142/00001","LEFFERTS OIL TERMINAL INC",1107,"Industrial SPDES - Surface Discharge","Written Comments Deadline",2024-07-26,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"TERESS BALDWIN",NA,NA
"NY0032891",64,"3-3342-00014/00002","HOLIDAY MANOR PARK LLC",65,"P/C/I SPDES - Surface Discharge","Issued",2023-09-18,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-04-01 04:00:00,2029-03-31 04:00:00,"KATHERINE M MURRAY",NA,NA
"NY0032930",494,"9-0672-00024/00001","EDGEWATER CONDOMINIUM ASSOCIATION",417,"P/C/I SPDES - Surface Discharge","Suspended Indefinitely",2023-04-24,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"THOMAS A RASCONA",NA,NA
"NY0032972",431,"3-1322-00031/00008","DUTCHESS COUNTY WATER & WASTEWATER AUTHORITY",18,"Municipal SPDES - Surface Discharge","Issued",2021-05-05,"MAJOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.","Issued",2021-08-01 04:00:00,2026-07-31 04:00:00,"TERESA DIEHSNER",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0032999",696,"8-4674-00012/00002","VILLAGE OF WAYLAND",584,"Municipal SPDES - Surface Discharge","Issued",2022-06-14,"MAJOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-03-01 05:00:00,2027-06-30 04:00:00,"ASHLEY N RUBACHA",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0033014",1447,"3-5138-00073/00001","ULSTER COUNTY",1207,"P/C/I SPDES - Surface Discharge","Issued",2020-03-18,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-07-26 04:00:00,2026-06-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0033022",362,"6-2250-00007/00001","VILLAGE OF PHILADELPHIA",301,"Municipal SPDES - Surface Discharge","Final Decision Due",2024-09-05,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"KATHERINE M MURRAY",NA,NA
"NY0033031",890,"4-0128-00005/00001","VILLAGE OF GREEN ISLAND",758,"Municipal SPDES - Surface Discharge","Issued",2023-03-13,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-01-01 05:00:00,2028-12-31 05:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0033049",986,"4-3826-00003/00001","NYS OFFICE OF PARKS REC & HISTORIC PRESERVATION",79,"P/C/I SPDES - Surface Discharge","Issued",2020-03-10,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-01-22 05:00:00,2025-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0033057",631,"8-2652-00004/00001","HOMETOWNE ACQUISITION SUB LLC",532,"Industrial SPDES - Surface Discharge","Issued",2023-03-30,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-11-01 04:00:00,2028-10-31 04:00:00,"THOMAS A RASCONA",NA,NA
"NY0033065",531,"9-1452-00023/00017","NEW ENTERPRISE STONE & LIME CO., INC.",428,"Industrial SPDES - Surface Discharge","Issued",2021-01-18,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-08-01 04:00:00,2026-07-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0033154",1191,"3-3344-00033/00001","NYS DEPT OF CORRECTIONS AND COMMUNITY SUPERVISION",198,"Industrial SPDES - Surface Discharge","Issued",2022-04-06,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-03-01 05:00:00,2028-02-29 05:00:00,"THOMAS A RASCONA",NA,NA
"NY0033260",37,"3-1356-00044/00001","NEW HACKENSACK REFORMED CHURCH",38,"P/C/I SPDES - Surface Discharge","Issued",2021-06-07,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-03-01 05:00:00,2027-02-28 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0033391",957,"4-1936-00028/00001","CHURCH COMMUNITIES NY INC.",133,"P/C/I SPDES - Surface Discharge","Issued",2023-02-23,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-01-01 05:00:00,2028-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0033430",1790,"3-1332-00248/00001","HYDE PARK CONDOMINIUM ASSOCIATION INC",1481,"P/C/I SPDES - Surface Discharge","Issued",2024-08-06,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-12-24 05:00:00,2029-11-30 05:00:00,"TERESS BALDWIN",NA,NA
"NY0033456",821,"7-3554-00004/00001","DEAN R TAYLOR",693,"P/C/I SPDES - Surface Discharge","Issued",2023-11-28,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-12-22 05:00:00,2028-01-31 05:00:00,"KEVIN M BALDUZZI",NA,NA
"NY0033472",138,"3-4844-00029/00002","NYS Dept of Environmental Conservation",3,"P/C/I SPDES - Surface Discharge","Issued",2022-01-13,"MAJOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.","Issued",2023-07-20 04:00:00,2027-03-31 04:00:00,"KATHERINE T COFFIN","The proposed activity is not subject to review in accordance with SHPA. The permit type is exempt or the activity is being reviewed in accordance with federal historic preservation regulations.","The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0033502",236,"5-0942-00012/00001","CUBB PROPERTIES 1, LLC",205,"P/C/I SPDES - Surface Discharge","Expired",2022-01-03,"MAJOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.","Issued",2022-08-01 04:00:00,2023-03-01 05:00:00,"ERIN M DONHAUSER","Cultural resource lists and map have been checked.  No registered, eligible, or inventoried archaeological sites or historic structures were identified at the project location.  No further review in accordance with SHPA is required.","The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0033511",369,"6-2322-00005/00001","VILLAGE OF CASTORLAND",308,"Municipal SPDES - Surface Discharge","Issued",2023-08-03,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-06-01 04:00:00,2029-05-31 04:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0033561",408,"6-4042-00004/00001","VILLAGE OF HAMMOND",343,"Municipal SPDES - Surface Discharge","Issued",2023-04-06,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-11-01 04:00:00,2028-10-31 04:00:00,"KATHERINE M MURRAY",NA,NA
"NY0033570",955,"4-1936-00025/00001","NYS Dept of Environmental Conservation",3,"P/C/I SPDES - Surface Discharge","Issued",2021-02-23,"MAJOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.","Issued",2025-03-01 05:00:00,2030-02-28 05:00:00,"KRISTEN L PEEK",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0033588",1018,"4-4346-00005/00001","VILLAGE OF SHARON SPRINGS",865,"Municipal SPDES - Surface Discharge","Issued",2021-06-21,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-01-01 05:00:00,2026-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0033596",202,"3-5520-00010/00002","BEDFORD PARK AT WESTCHESTER LLC",175,"P/C/I SPDES - Surface Discharge","Expired",2020-11-05,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-06-07 04:00:00,2022-04-12 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0033600",145,"3-4846-00044/00002","SULLIVAN INFRA WEST INC",128,"P/C/I SPDES - Surface Discharge","Issued",2020-01-14,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-12-02 05:00:00,2026-11-30 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0033901",792,"7-3138-00006/00001","CSX TRANSPORTATION, INC.",456,"Industrial SPDES - Surface Discharge","Issued",2021-12-02,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-06-01 04:00:00,2027-05-31 04:00:00,"DONALD J KLACZKO",NA,NA
"NY0033987",535,"9-1464-00037/00002","ERIE COUNTY WATER AUTHORITY",442,"Industrial SPDES - Surface Discharge","Issued",2022-10-25,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-07-01 04:00:00,2028-06-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0033995",519,"9-1442-00009/00001","TOWN OF ELMA",439,"Municipal SPDES - Surface Discharge","Issued",2022-04-19,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-03-01 05:00:00,2028-02-29 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0034002",189,"3-5156-00024/00002","VILLAGE OF ELLENVILLE",164,"Municipal SPDES - Surface Discharge","Issued",2024-01-05,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-11-01 04:00:00,2029-10-31 04:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0034037",973,"4-3646-00022/00001","REINHARDT CORP",831,"Industrial SPDES - Surface Discharge","Issued",2024-02-29,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2025-01-01 05:00:00,2029-12-31 05:00:00,"KATHERINE M MURRAY",NA,NA
"NY0034045",214,"3-1332-00254/00002","THE ARBORS CONDOMINIUM HOMEOWNERS ASSOCIATION INC",184,"P/C/I SPDES - Surface Discharge","Suspended Indefinitely",2021-03-12,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"MICHAEL R SCHAEFER",NA,NA
"NY0034169",180,"3-5150-00005/00005","NYS OLYMPIC REGIONAL DEVELOPMENT AUTHORITY",156,"Industrial SPDES - Surface Discharge","Issued",2023-12-22,"MAJOR","Type I Action","Negative Declaration","NYS Olympic Regional Development Authority","This project is not located in a Coastal Management area.","Issued",2024-06-17 04:00:00,2029-05-31 04:00:00,"REBECCA S CRIST","A cultural resources survey has been completed.  The report of the survey is on file.  No archaeological sites or historic structures were identified at the project location. No further review in accordance with SHPA is required.","The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0034185",877,"4-0120-00014/00001","WOODSTOCK LAKE ASSOCIATION INC",746,"P/C/I SPDES - Surface Discharge","Issued",2023-10-30,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-08-01 04:00:00,2029-07-31 04:00:00,"KATHERINE M MURRAY",NA,NA
"NY0034207",152,"3-5122-00009/00002","CHURCH COMMUNITIES NY INC.",133,"P/C/I SPDES - Surface Discharge","Issued",2023-02-02,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-12-01 05:00:00,2028-11-30 05:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0034258",426,"6-4064-00021/00001","WADHAMS HALL SEMINARY/COLLEGE",357,"P/C/I SPDES - Surface Discharge","Issued",2020-02-12,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-08-05 04:00:00,2026-07-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0034339",560,"5-5230-00017/00002","NYS OLYMPIC REGIONAL DEVELOPMENT AUTHORITY",156,"P/C/I SPDES - Surface Discharge","Issued",2024-01-22,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-08-01 04:00:00,2029-07-31 04:00:00,"KATHERINE M MURRAY",NA,NA
"NY0034347",252,"5-2026-00011/00001","NYS Dept of Environmental Conservation",3,"P/C/I SPDES - Surface Discharge","Issued",2022-01-25,"MAJOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-09-01 04:00:00,2029-08-31 04:00:00,"ERIN M DONHAUSER",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0034355",254,"5-2030-00010/00001","NYS Dept of Environmental Conservation",3,"P/C/I SPDES - Surface Discharge","Issued",2023-01-17,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-12-01 05:00:00,2028-11-30 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0034363",253,"0-9999-00125/00001","NYS Dept of Environmental Conservation",3,"P/C/I SPDES - Surface Discharge","Issued",2022-09-16,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-05-01 04:00:00,2028-04-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0034371",255,"5-2036-00004/00001","NYS Dept of Environmental Conservation",3,"P/C/I SPDES - Surface Discharge","Issued",2022-09-15,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-05-01 04:00:00,2028-04-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0034401",1173,"3-5522-00110/00003","JONAS BASTYS INC",984,"P/C/I SPDES - Surface Discharge","Issued",2020-11-17,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-05-18 04:00:00,2027-04-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0034436",70,"3-3344-00003/00002","TOWN OF MOUNT HOPE",71,"Municipal SPDES - Surface Discharge","Issued",2022-06-13,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-09-14 04:00:00,2027-08-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0034533",404,"6-4036-00002/00001","TOWN OF FINE",340,"Municipal SPDES - Surface Discharge","Issued",2022-01-04,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-11-01 04:00:00,2027-10-31 04:00:00,"DONALD J KLACZKO",NA,NA
"NY0034550",500,"9-1424-00005/00001","WORLD MISSION SOCIETY, CHURCH OF GOD A NJ NONPROFIT CORPORATION",423,"P/C/I SPDES - Surface Discharge","Issued",2024-12-03,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2025-02-03 05:00:00,2026-03-31 04:00:00,"MICHELLE R WOZNICK",NA,NA
"NY0034657",835,"7-5007-00013/00001","CITY OF ITHACA",706,"Industrial SPDES - Surface Discharge","Final Decision Due",2024-10-01,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"KATHERINE M MURRAY",NA,NA
"NY0034711",262,"5-4142-00002/00001","Forest Hills Park LLC",224,"P/C/I SPDES - Surface Discharge","Issued",2023-11-09,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-10-01 04:00:00,2029-09-30 04:00:00,"TERESS BALDWIN",NA,NA
"NY0034762",402,"6-4030-00005/00001","TOWN OF DEKALB",338,"Municipal SPDES - Surface Discharge","Written Comments Deadline",2025-02-04,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"ELISE A FERENCEVYCH",NA,NA
"NY0034771",337,"6-2220-00002/00001","VILLAGE OF ADAMS",283,"Municipal SPDES - Surface Discharge","Issued",2023-03-06,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-01-01 05:00:00,2028-12-31 05:00:00,"THOMAS A RASCONA",NA,NA
"NY0034959",268,"5-9905-00089/00003","BARTON MINES CORPORATION",231,"Industrial SPDES - Surface Discharge","Issued",2021-09-08,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-02-01 05:00:00,2027-01-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0034983",139,"3-4844-00041/00002","TOWN OF ROCKLAND",122,"Municipal SPDES - Surface Discharge","Issued",2020-02-21,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-01-01 05:00:00,2025-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
