"action_id","facility","facility_id","npdes_id","application_id","applicant","application_type","date_received","status","short_description","enb_publication_date","written_comments_due","dup_flag","transfer_flag"
"NYR10E361_2021-10-22","INDIAN POINT ENERGY CENTER",206,"NYR10E361","3-5522-00011/00004","HOLTEC INDIAN POINT 3, LLC","Renewal Treat as New",2021-10-22,"Suspended Indefinitely","renewal for # ny0004472 and combination with spdes #ny0250414",NA,NA,FALSE,FALSE
"NY0251135_2021-10-22","INDIAN POINT ENERGY CENTER",206,"NY0251135","3-5522-00011/00004","HOLTEC INDIAN POINT 3, LLC","Renewal Treat as New",2021-10-22,"Suspended Indefinitely","renewal for # ny0004472 and combination with spdes #ny0250414",NA,NA,FALSE,FALSE
"NY0250414_2021-10-22","INDIAN POINT ENERGY CENTER",206,"NY0250414","3-5522-00011/00004","HOLTEC INDIAN POINT 3, LLC","Renewal Treat as New",2021-10-22,"Suspended Indefinitely","renewal for # ny0004472 and combination with spdes #ny0250414",NA,NA,FALSE,FALSE
"NY0004472_2021-10-22","INDIAN POINT ENERGY CENTER",206,"NY0004472","3-5522-00011/00004","HOLTEC INDIAN POINT 3, LLC","Renewal Treat as New",2021-10-22,"Suspended Indefinitely","renewal for # ny0004472 and combination with spdes #ny0250414",NA,NA,FALSE,FALSE
"NY0147711_2022-06-09","INDIAN POINT ENERGY CENTER",206,"NY0147711","3-5522-00011/00027","HOLTEC INDIAN POINT 3, LLC","Renewal Treat as New",2022-06-09,"Suspended Indefinitely","discontinuance of #ny0250414 following combination with ny0004472",2022-08-10 04:00:00,2022-09-09 04:00:00,FALSE,FALSE
"NYR00E125_2022-06-09","INDIAN POINT ENERGY CENTER",206,"NYR00E125","3-5522-00011/00027","HOLTEC INDIAN POINT 3, LLC","Renewal Treat as New",2022-06-09,"Suspended Indefinitely","discontinuance of #ny0250414 following combination with ny0004472",2022-08-10 04:00:00,2022-09-09 04:00:00,FALSE,FALSE
"NYR10E361_2022-06-09","INDIAN POINT ENERGY CENTER",206,"NYR10E361","3-5522-00011/00027","HOLTEC INDIAN POINT 3, LLC","Renewal Treat as New",2022-06-09,"Suspended Indefinitely","discontinuance of #ny0250414 following combination with ny0004472",2022-08-10 04:00:00,2022-09-09 04:00:00,FALSE,FALSE
"NY0251135_2022-06-09","INDIAN POINT ENERGY CENTER",206,"NY0251135","3-5522-00011/00027","HOLTEC INDIAN POINT 3, LLC","Renewal Treat as New",2022-06-09,"Suspended Indefinitely","discontinuance of #ny0250414 following combination with ny0004472",2022-08-10 04:00:00,2022-09-09 04:00:00,FALSE,FALSE
"NY0250414_2022-06-09","INDIAN POINT ENERGY CENTER",206,"NY0250414","3-5522-00011/00027","HOLTEC INDIAN POINT 3, LLC","Renewal Treat as New",2022-06-09,"Suspended Indefinitely","discontinuance of #ny0250414 following combination with ny0004472",2022-08-10 04:00:00,2022-09-09 04:00:00,FALSE,FALSE
"NY0004472_2022-06-09","INDIAN POINT ENERGY CENTER",206,"NY0004472","3-5522-00011/00027","HOLTEC INDIAN POINT 3, LLC","Renewal Treat as New",2022-06-09,"Suspended Indefinitely","discontinuance of #ny0250414 following combination with ny0004472",2022-08-10 04:00:00,2022-09-09 04:00:00,FALSE,FALSE
"NY0035017_2023-09-15","WALTER PANUS HIGH SCHOOL",207,"NY0035017","3-5522-00037/00002","LAKELAND CENTRAL SCHOOL DISTRICT","Renewal Treat as New",2023-09-15,"Issued","spdes fast track renewal for ny0035017",2023-09-27 04:00:00,2023-10-27 04:00:00,FALSE,FALSE
"NY0075175_2020-08-04","SPRINGVALE WWTP",208,"NY0075175","3-5522-00055/00002","SPRINGVALE SEWERAGE DISPOSAL CORP","Renewal Treat as New",2020-08-04,"Issued","spdes fast track renewal for # ny0075175",2020-08-26 04:00:00,2020-09-25 04:00:00,FALSE,FALSE
"NYR20A535_2020-10-15","VA HUDSON VALLEY HEALTH CARE SYSTEM",209,"NYR20A535","3-5522-00062/00002","US DEPT OF VETERANS AFFAIRS","Renewal Treat as New",2020-10-15,"Issued","spdes fast track renewal for # ny0021326",2020-12-02 05:00:00,2021-01-01 05:00:00,FALSE,FALSE
"NYR10D232_2020-10-15","VA HUDSON VALLEY HEALTH CARE SYSTEM",209,"NYR10D232","3-5522-00062/00002","US DEPT OF VETERANS AFFAIRS","Renewal Treat as New",2020-10-15,"Issued","spdes fast track renewal for # ny0021326",2020-12-02 05:00:00,2021-01-01 05:00:00,FALSE,FALSE
"NY0021326_2020-10-15","VA HUDSON VALLEY HEALTH CARE SYSTEM",209,"NY0021326","3-5522-00062/00002","US DEPT OF VETERANS AFFAIRS","Renewal Treat as New",2020-10-15,"Issued","spdes fast track renewal for # ny0021326",2020-12-02 05:00:00,2021-01-01 05:00:00,FALSE,FALSE
"NY0036684_2020-02-13","LEWISBORO ELEMENTARY SCH",210,"NY0036684","3-5530-00013/00002","KATONAH-LEWISBORO UNION FREE SCHOOL DISTRICT","Renewal Treat as New",2020-02-13,"Issued","spdes fast track renewal for # ny0036684",2020-04-15 04:00:00,2020-05-15 04:00:00,FALSE,FALSE
"NY0030767_2021-03-04","OAKRIDGE TREATMENT PLANT",211,"NY0030767","3-5530-00022/00006","TOWN OF LEWISBORO","Renewal Treat as New",2021-03-04,"Issued","spdes fast track renewal for # ny0030767",2021-03-10 05:00:00,2021-04-09 04:00:00,FALSE,FALSE
"NY0105708_2025-02-03","WACCABUC COUNTRY CLUB",212,"NY0105708","3-5530-00028/00002","WACCABUC COUNTRY CLUB COMPANY","Renewal Treat as New",2025-02-03,"Written Comments Deadline","spdes fast track renewal for ny0105708",2025-02-19 05:00:00,2025-03-21 04:00:00,FALSE,FALSE
"NYR10Q140_2025-02-03","WACCABUC COUNTRY CLUB",212,"NYR10Q140","3-5530-00028/00002","WACCABUC COUNTRY CLUB COMPANY","Renewal Treat as New",2025-02-03,"Written Comments Deadline","spdes fast track renewal for ny0105708",2025-02-19 05:00:00,2025-03-21 04:00:00,FALSE,FALSE
"NY0065706_2023-09-21","WILD OAKS SEWER DISTRICT",213,"NY0065706","3-5530-00030/00003","TOWN OF LEWISBORO","Renewal Treat as New",2023-09-21,"Issued","spdes fast track renewal for ny0065706",2023-11-29 05:00:00,2023-12-29 05:00:00,FALSE,FALSE
"NY0034045_2021-03-12","ARBORS CONDOMINIUMS",214,"NY0034045","3-1332-00254/00002","THE ARBORS CONDOMINIUM HOMEOWNERS ASSOCIATION INC","Renewal Treat as New",2021-03-12,"Suspended Indefinitely","spdes fast track renewal for # ny0034045",NA,NA,FALSE,FALSE
"NY0031674_2022-03-11","BYRAM HILLS HIGH SCHOOL",215,"NY0031674","3-5538-00139/00002","BYRAM HILLS CENTRAL SCHOOL DISTRICT","Renewal Treat as New",2022-03-11,"Issued","reauthorize expired permit",2023-03-08 05:00:00,2023-04-07 04:00:00,FALSE,FALSE
"NY0031674_2023-09-28","BYRAM HILLS HIGH SCHOOL",215,"NY0031674","3-5538-00139/00002","BYRAM HILLS CENTRAL SCHOOL DISTRICT","Minor Modification",2023-09-28,"Issued","remove footnote on page 3 which is in error",NA,NA,FALSE,FALSE
"NY0165425_2021-10-20","FOX HOLLOW SEWER CO",216,"NY0165425","3-5536-00011/00002","RIVERWOODS COMMUNITY ASSOCIATION INC","Renewal Treat as New",2021-10-20,"Issued","spdes fast track renewal for # ny0165425",2021-10-27 04:00:00,2021-11-26 05:00:00,FALSE,FALSE
"NY0281701_2022-07-07","RANDOM FARMS ASSOCIATION",217,"NY0281701","3-5536-00020/00011","Random Farms Associates Sewer Company Inc","New",2022-07-07,"Issued","new wwtp including new outfall",2023-06-21 04:00:00,2023-07-21 04:00:00,FALSE,FALSE
"NY0165743_2022-07-07","RANDOM FARMS ASSOCIATION",217,"NY0165743","3-5536-00020/00011","Random Farms Associates Sewer Company Inc","New",2022-07-07,"Issued","new wwtp including new outfall",2023-06-21 04:00:00,2023-07-21 04:00:00,FALSE,FALSE
"NY0104701_2024-06-10","METALLIZED CARBON CORPORATION",218,"NY0104701","3-5542-00016/00003","METALLIZED CARBON CORPORATION","Renewal Treat as New",2024-06-10,"Issued","spdes fast track renewal for ny0104701",2024-06-19 04:00:00,2024-07-19 04:00:00,FALSE,FALSE
"NY0083178_2023-09-07","STONE GATE MOTEL EFFICIENCIES",219,"NY0083178","3-1356-00075/00001","AHMED SHAH","Renewal Treat as New",2023-09-07,"Issued","spdes fast track renewal for ny0083178",2023-09-20 04:00:00,2023-10-20 04:00:00,FALSE,FALSE
"NYR00F880_2021-11-15","WINGDALE QUARRY",220,"NYR00F880","3-1326-00049/00004","WINGDALE MATERIALS, LLC","Renewal Treat as New",2021-11-15,"Issued","spdes fast track renewal for ny0086070",2022-09-14 04:00:00,2022-10-14 04:00:00,FALSE,FALSE
"NY0086070_2021-11-15","WINGDALE QUARRY",220,"NY0086070","3-1326-00049/00004","WINGDALE MATERIALS, LLC","Renewal Treat as New",2021-11-15,"Issued","spdes fast track renewal for ny0086070",2022-09-14 04:00:00,2022-10-14 04:00:00,FALSE,FALSE
"NY0208396_2022-08-29","BLUE MOUNTAIN WATER FILTRATION FACILITY",221,"NY0208396","3-5148-00067/00002","VILLAGE OF SAUGERTIES","Renewal Treat as New",2022-08-29,"Issued","spdes fast track renewal for # ny0208396",2022-09-21 04:00:00,2022-10-21 04:00:00,FALSE,FALSE
"NY0214841_2023-06-22","MICHELLE ESTATES REALTY SUBDIVISION",222,"NY0214841","3-5530-00033/00001","MICHELLE ESTATES HOMEOWNERS ASSOCIATION INC","Renewal Treat as New",2023-06-22,"Suspended Indefinitely","spdes fast track renewal for ny0214841",NA,NA,FALSE,FALSE
"NY0153012_2024-05-19","YESHIVA CAMP KARLIN STOLIN",223,"NY0153012","3-5132-00029/00001","YESHIVA KARLIN & STOLIN OF BETH ARON VEISRAEL RABBINICAL INSTITUTE, INC.","Renewal Treat as New",2024-05-19,"Issued","spdes fast track renewal for ny0153012",2024-06-05 04:00:00,2024-07-05 04:00:00,FALSE,FALSE
"NY0207853_2024-11-01","HOSTEL 2040",224,"NY0207853","3-1320-00237/00001","NYS OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES","Renewal Treat as New",2024-11-01,"Issued","spdes fast track renewal for # ny0207853",2024-11-13 05:00:00,2024-12-13 05:00:00,FALSE,FALSE
"NY0207586_2020-01-10","NEW HOPE MANOR, INC.",225,"NY0207586","3-4834-00025/00001","FRIENDS OF NEW HOPE MANOR INC","Renewal Treat as New",2020-01-10,"Issued","spdes fast track renewal for # ny0207586",2020-02-26 05:00:00,2020-03-27 04:00:00,FALSE,FALSE
"NY0207586_2024-12-18","NEW HOPE MANOR, INC.",225,"NY0207586","3-4834-00025/00001","NEW HOPE MANOR, INC.","Renewal Treat as New",2024-12-18,"Final Decision Due","spdes fast track renewal and transfer for ny0207586",2025-01-29 05:00:00,2025-02-28 05:00:00,FALSE,TRUE
"NY0030538_2020-03-16","QUALITY INN",226,"NY0030538","3-5154-00270/00001","GOKUL INC OF NY","Renewal Treat as New",2020-03-16,"Issued","spdes fast track renewal for # ny0030538",2020-09-09 04:00:00,2020-10-09 04:00:00,FALSE,FALSE
"NY0165531_2022-09-26","HUNTER'S GLEN",227,"NY0165531","3-3730-00055/00001","CHRISTY FARMS SEWAGE WORKS CORP","Renewal Treat as New",2022-09-26,"Issued","spdes fast track renewal for # ny0165531",2022-10-26 04:00:00,2022-11-25 05:00:00,FALSE,FALSE
"NY0183512_2020-04-27","ALTONA CORRECTIONAL FACILILTY",228,"NY0183512","5-0920-00007/00003","NYS DEPT OF CORRECTIONS AND COMMUNITY SUPERVISION","Modification Treat as New",2020-04-27,"Issued","new phosphorus limits on existing <0.12 mgd outfall",2020-07-01 04:00:00,2020-07-31 04:00:00,FALSE,FALSE
"NY0183512_2024-08-15","ALTONA CORRECTIONAL FACILILTY",228,"NY0183512","5-0920-00007/00003","NYS DEPT OF CORRECTIONS AND COMMUNITY SUPERVISION","Renewal Treat as New",2024-08-15,"Final Decision Due","spdes fast track for ny183512",2024-09-04 04:00:00,2024-10-04 04:00:00,FALSE,FALSE
"NY0025097_2022-11-18","KEESEVILLE WASTEWATER TREATMENT PLANT",229,"NY0025097","5-0922-00003/00002","TOWN OF AUSABLE","Renewal Treat as New",2022-11-18,"Issued","ebps mod/ renewal",2022-12-21 05:00:00,2023-01-20 05:00:00,FALSE,FALSE
"NY0025097_2021-10-06","KEESEVILLE WASTEWATER TREATMENT PLANT",229,"NY0025097","5-0922-00003/00002","TOWN OF AUSABLE","Renewal Treat as New",2021-10-06,"Expired","spdes fast track renewal for ny0025097",2021-11-03 04:00:00,2021-12-03 05:00:00,FALSE,FALSE
"NYR11D937_2024-08-21","BEEKMANTOWN CENTRAL SCHOOL",230,"NYR11D937","5-0924-00001/00001","BEEKMANTOWN CENTRAL SCHOOL DISTRICT","Renewal Treat as New",2024-08-21,"Final Decision Due","spdes fast track renewal for ny0239208",2024-09-11 04:00:00,2024-10-11 04:00:00,FALSE,FALSE
"NY0239208_2024-08-21","BEEKMANTOWN CENTRAL SCHOOL",230,"NY0239208","5-0924-00001/00001","BEEKMANTOWN CENTRAL SCHOOL DISTRICT","Renewal Treat as New",2024-08-21,"Final Decision Due","spdes fast track renewal for ny0239208",2024-09-11 04:00:00,2024-10-11 04:00:00,FALSE,FALSE
"NY0032204_2024-09-12","CHAMPLAIN WWTP",231,"NY0032204","5-0928-00005/00003","VILLAGE OF CHAMPLAIN","Renewal Treat as New",2024-09-12,"Issued","ebps mod of their permit",2024-11-27 05:00:00,2024-12-27 05:00:00,FALSE,FALSE
"NY0032204_2023-07-27","CHAMPLAIN WWTP",231,"NY0032204","5-0928-00005/00003","VILLAGE OF CHAMPLAIN","Renewal Treat as New",2023-07-27,"Expired","spdes fast track renewal for ny0032204",2023-08-30 04:00:00,2023-09-29 04:00:00,FALSE,FALSE
"NYR00G718_2020-05-14","NORTHSTAR FACILITY",232,"NYR00G718","5-0930-00001/00002","NORTHSTAR 41 LLC","Minor Modification",2020-05-14,"Discontinued","request to discontinue industrial spdes permit",NA,NA,FALSE,FALSE
"NY0296520_2020-05-14","NORTHSTAR FACILITY",232,"NY0296520","5-0930-00001/00002","NORTHSTAR 41 LLC","Minor Modification",2020-05-14,"Discontinued","request to discontinue industrial spdes permit",NA,NA,FALSE,FALSE
"NYR10A298_2020-05-14","NORTHSTAR FACILITY",232,"NYR10A298","5-0930-00001/00002","NORTHSTAR 41 LLC","Minor Modification",2020-05-14,"Discontinued","request to discontinue industrial spdes permit",NA,NA,FALSE,FALSE
"NY0007170_2020-05-14","NORTHSTAR FACILITY",232,"NY0007170","5-0930-00001/00002","NORTHSTAR 41 LLC","Minor Modification",2020-05-14,"Discontinued","request to discontinue industrial spdes permit",NA,NA,FALSE,FALSE
"NYR00G718_2022-01-26","NORTHSTAR FACILITY",232,"NYR00G718","5-0930-00001/00037","NORTHSTAR 41 LLC","New",2022-01-26,"Issued","new industrial wastewater discharge 25,500 gpd",2022-11-09 05:00:00,2022-12-09 05:00:00,FALSE,FALSE
"NY0296520_2022-01-26","NORTHSTAR FACILITY",232,"NY0296520","5-0930-00001/00037","NORTHSTAR 41 LLC","New",2022-01-26,"Issued","new industrial wastewater discharge 25,500 gpd",2022-11-09 05:00:00,2022-12-09 05:00:00,FALSE,FALSE
"NYR10A298_2022-01-26","NORTHSTAR FACILITY",232,"NYR10A298","5-0930-00001/00037","NORTHSTAR 41 LLC","New",2022-01-26,"Issued","new industrial wastewater discharge 25,500 gpd",2022-11-09 05:00:00,2022-12-09 05:00:00,FALSE,FALSE
"NY0007170_2022-01-26","NORTHSTAR FACILITY",232,"NY0007170","5-0930-00001/00037","NORTHSTAR 41 LLC","New",2022-01-26,"Issued","new industrial wastewater discharge 25,500 gpd",2022-11-09 05:00:00,2022-12-09 05:00:00,FALSE,FALSE
"NYR00G718_2023-10-03","NORTHSTAR FACILITY",232,"NYR00G718","5-0930-00001/00037","NORTHSTAR 41 LLC","Modification Treat as New",2023-10-03,"Issued","substitute ultraviolet disinfection for existing ozone pro",2024-01-10 05:00:00,2024-02-09 05:00:00,FALSE,FALSE
"NY0296520_2023-10-03","NORTHSTAR FACILITY",232,"NY0296520","5-0930-00001/00037","NORTHSTAR 41 LLC","Modification Treat as New",2023-10-03,"Issued","substitute ultraviolet disinfection for existing ozone pro",2024-01-10 05:00:00,2024-02-09 05:00:00,FALSE,FALSE
"NYR10A298_2023-10-03","NORTHSTAR FACILITY",232,"NYR10A298","5-0930-00001/00037","NORTHSTAR 41 LLC","Modification Treat as New",2023-10-03,"Issued","substitute ultraviolet disinfection for existing ozone pro",2024-01-10 05:00:00,2024-02-09 05:00:00,FALSE,FALSE
"NY0007170_2023-10-03","NORTHSTAR FACILITY",232,"NY0007170","5-0930-00001/00037","NORTHSTAR 41 LLC","Modification Treat as New",2023-10-03,"Issued","substitute ultraviolet disinfection for existing ozone pro",2024-01-10 05:00:00,2024-02-09 05:00:00,FALSE,FALSE
"NY0023949_2020-06-23","PERU STP",233,"NY0023949","5-0940-00008/00001","TOWN OF PERU","Renewal Treat as New",2020-06-23,"Issued","ebps/disinfection & pim request- remove 002 & mon wells 1-3   spdes ny0023949",2020-07-08 04:00:00,2020-08-07 04:00:00,FALSE,FALSE
"NY0023949_2025-02-14","PERU STP",233,"NY0023949","5-0940-00008/00001","TOWN OF PERU","Renewal Treat as New",2025-02-14,"Completeness Determination Due","spdes fast track renewal for ny0023949",NA,NA,FALSE,FALSE
"NY0183636_2023-04-28","VALCOUR SD WWTF",234,"NY0183636","5-0940-00009/00001","TOWN OF PERU","Renewal Treat as New",2023-04-28,"Issued","spdes fast  track renewal for ny0183636",2023-05-31 04:00:00,2023-06-30 04:00:00,FALSE,FALSE
"NYR00G683_2022-11-03","Plattsburgh Organics Recycling Plant",235,"NYR00G683","5-0942-00006/00002","CITY OF PLATTSBURGH","Minor Modification",2022-11-03,"Discontinued","discondtinue permit due to coverage #nyr00g683 under gp-0-17-004",NA,NA,FALSE,FALSE
"NY0201723_2022-11-03","Plattsburgh Organics Recycling Plant",235,"NY0201723","5-0942-00006/00002","CITY OF PLATTSBURGH","Minor Modification",2022-11-03,"Discontinued","discondtinue permit due to coverage #nyr00g683 under gp-0-17-004",NA,NA,FALSE,FALSE
"NYR00G683_2022-02-10","Plattsburgh Organics Recycling Plant",235,"NYR00G683","5-0942-00006/00002","CITY OF PLATTSBURGH","Renewal Treat as New",2022-02-10,"Expired","spdes fast track renewal for ny0201723",2022-03-23 04:00:00,2022-04-22 04:00:00,FALSE,FALSE
"NY0201723_2022-02-10","Plattsburgh Organics Recycling Plant",235,"NY0201723","5-0942-00006/00002","CITY OF PLATTSBURGH","Renewal Treat as New",2022-02-10,"Expired","spdes fast track renewal for ny0201723",2022-03-23 04:00:00,2022-04-22 04:00:00,FALSE,FALSE
"NY0033502_2022-01-03","NORTHWAY MOBILE HOME PARK",236,"NY0033502","5-0942-00012/00001","CUBB PROPERTIES 1, LLC","Modification Treat as New",2022-01-03,"Expired","new outfall 002, 10k gpd to groundwater",2022-05-04 04:00:00,2022-06-03 04:00:00,FALSE,FALSE
"NY0074667_2023-05-10","Champlain Valley Family Center",237,"NY0074667","5-0946-00005/00001","Champlain Valley Family Center for Drug Treatment and Youth Services Inc","Renewal Treat as New",2023-05-10,"Issued","spdes fast trackrenewal for ny0074667",2023-05-24 04:00:00,2023-06-23 04:00:00,FALSE,FALSE
"NY0023132_2023-05-25","WINEBROOK HILLS SD WWTP",238,"NY0023132","5-1538-00003/00001","TOWN OF NEWCOMB","Renewal Treat as New",2023-05-25,"Issued","renewal of expired permit and modifications resulting from ebps full technical review",2024-08-21 04:00:00,2024-09-20 04:00:00,FALSE,FALSE
"NYR10R941_2023-05-25","WINEBROOK HILLS SD WWTP",238,"NYR10R941","5-1538-00003/00001","TOWN OF NEWCOMB","Renewal Treat as New",2023-05-25,"Issued","renewal of expired permit and modifications resulting from ebps full technical review",2024-08-21 04:00:00,2024-09-20 04:00:00,FALSE,FALSE
"NY0201448_2023-12-22","Olympic Jumping Complex",239,"NY0201448","5-1540-00012/00005","NYS OLYMPIC REGIONAL DEVELOPMENT AUTHORITY","New",2023-12-22,"Issued","new individual construction stormwater spdes #ny0296678",2024-03-20 04:00:00,2024-04-19 04:00:00,FALSE,FALSE
"NY0296678_2023-12-22","Olympic Jumping Complex",239,"NY0296678","5-1540-00012/00005","NYS OLYMPIC REGIONAL DEVELOPMENT AUTHORITY","New",2023-12-22,"Issued","new individual construction stormwater spdes #ny0296678",2024-03-20 04:00:00,2024-04-19 04:00:00,FALSE,FALSE
"NYR10U705_2023-12-22","Olympic Jumping Complex",239,"NYR10U705","5-1540-00012/00005","NYS OLYMPIC REGIONAL DEVELOPMENT AUTHORITY","New",2023-12-22,"Issued","new individual construction stormwater spdes #ny0296678",2024-03-20 04:00:00,2024-04-19 04:00:00,FALSE,FALSE
"NY0022187_2023-08-01","LAKE PLACID WPCP",240,"NY0022187","5-1540-00015/00001","VILLAGE OF LAKE PLACID","Modification Treat as New",2023-08-01,"Issued","modification regarding mercury minimization program",2024-02-14 05:00:00,2024-03-15 04:00:00,FALSE,FALSE
"NYR10F242_2023-08-01","LAKE PLACID WPCP",240,"NYR10F242","5-1540-00015/00001","VILLAGE OF LAKE PLACID","Modification Treat as New",2023-08-01,"Issued","modification regarding mercury minimization program",2024-02-14 05:00:00,2024-03-15 04:00:00,FALSE,FALSE
"NY0022187_2020-02-10","LAKE PLACID WPCP",240,"NY0022187","5-1540-00015/00001","VILLAGE OF LAKE PLACID","Renewal Treat as New",2020-02-10,"Issued","full tech review and renewal for # ny0022187",NA,NA,FALSE,FALSE
"NYR10F242_2020-02-10","LAKE PLACID WPCP",240,"NYR10F242","5-1540-00015/00001","VILLAGE OF LAKE PLACID","Renewal Treat as New",2020-02-10,"Issued","full tech review and renewal for # ny0022187",NA,NA,FALSE,FALSE
"NYR10P280_2021-04-01","NYS POLICE TROOP B HEADQUARTERS",241,"NYR10P280","5-1540-00026/00002","NYS POLICE","DIM Treat as New",2021-04-01,"Expired","dim - compliance schedule",2021-04-07 04:00:00,2021-05-07 04:00:00,FALSE,FALSE
"NY0129062_2021-04-01","NYS POLICE TROOP B HEADQUARTERS",241,"NY0129062","5-1540-00026/00002","NYS POLICE","DIM Treat as New",2021-04-01,"Expired","dim - compliance schedule",2021-04-07 04:00:00,2021-05-07 04:00:00,FALSE,FALSE
"NYR10P280_2022-12-22","NYS POLICE TROOP B HEADQUARTERS",241,"NYR10P280","5-1540-00026/00002","NYS POLICE","Renewal Treat as New",2022-12-22,"Issued","spdes fast track renewal for # ny0129062",2023-01-11 05:00:00,2023-02-10 05:00:00,FALSE,FALSE
"NY0129062_2022-12-22","NYS POLICE TROOP B HEADQUARTERS",241,"NY0129062","5-1540-00026/00002","NYS POLICE","Renewal Treat as New",2022-12-22,"Issued","spdes fast track renewal for # ny0129062",2023-01-11 05:00:00,2023-02-10 05:00:00,FALSE,FALSE
"NYR10Y786_2020-07-08","SARANAC LAKE STP",242,"NYR10Y786","5-1544-00008/00001","VILLAGE OF SARANAC LAKE","DIM Treat as New",2020-07-08,"Modify Permit","ebps ren/dim spdes ny0021733",2020-07-15 04:00:00,2020-08-14 04:00:00,FALSE,FALSE
"NY0021733_2020-07-08","SARANAC LAKE STP",242,"NY0021733","5-1544-00008/00001","VILLAGE OF SARANAC LAKE","DIM Treat as New",2020-07-08,"Modify Permit","ebps ren/dim spdes ny0021733",2020-07-15 04:00:00,2020-08-14 04:00:00,FALSE,FALSE
"NYR00B981_2021-08-02","Sylvamo Ticonderoga Mill",243,"NYR00B981","5-1548-00008/00006","INTERNATIONAL PAPER COMPANY","Minor Modification",2021-08-02,"SAPA Extended","transfer of facility to new owner",NA,NA,FALSE,TRUE
"NY0004413_2021-08-02","Sylvamo Ticonderoga Mill",243,"NY0004413","5-1548-00008/00006","INTERNATIONAL PAPER COMPANY","Minor Modification",2021-08-02,"SAPA Extended","transfer of facility to new owner",NA,NA,FALSE,TRUE
"NYR00B981_2023-02-21","Sylvamo Ticonderoga Mill",243,"NYR00B981","5-1548-00008/00006","Sylvamo North America LLC","Modification Treat as New",2023-02-21,"SAPA Extended","remove schedule of compliance & settleable solids monthly average",2023-04-26 04:00:00,2023-05-26 04:00:00,FALSE,FALSE
"NY0004413_2023-02-21","Sylvamo Ticonderoga Mill",243,"NY0004413","5-1548-00008/00006","Sylvamo North America LLC","Modification Treat as New",2023-02-21,"SAPA Extended","remove schedule of compliance & settleable solids monthly average",2023-04-26 04:00:00,2023-05-26 04:00:00,FALSE,FALSE
"NYR00A936_2022-05-12","IMERYS WOLLASTONITE PLANT",244,"NYR00A936","5-1552-00005/00031","Imerys Wollastonite USA LLC","Renewal Treat as New",2022-05-12,"Issued","spdes fast track renewal for ny0006092",2022-06-29 04:00:00,2022-07-29 04:00:00,FALSE,FALSE
"NY0006092_2022-05-12","IMERYS WOLLASTONITE PLANT",244,"NY0006092","5-1552-00005/00031","Imerys Wollastonite USA LLC","Renewal Treat as New",2022-05-12,"Issued","spdes fast track renewal for ny0006092",2022-06-29 04:00:00,2022-07-29 04:00:00,FALSE,FALSE
"NY0024830_2020-07-29","Village of Chateaugay Wastewater Treatment Plant",245,"NY0024830","5-1634-00002/00001","VILLAGE OF CHATEAUGAY","Modification Treat as New",2020-07-29,"Issued","modification to spdes permit to extend compliance schedule and change limits",2020-10-21 04:00:00,2020-11-20 05:00:00,FALSE,FALSE
"NY0035343_2020-03-13","CHATEAUGAY FISH HATCHERY",246,"NY0035343","5-1634-00006/00001","NYS Dept of Environmental Conservation","Renewal Treat as New",2020-03-13,"Issued","spdes fast track renewal for # ny0035343",2020-10-28 04:00:00,2020-11-27 05:00:00,FALSE,FALSE
"NY0027863_2021-04-08","HIGH STREET FT COVINGTON STP",247,"NY0027863","5-1642-00003/00001","TOWN OF FORT COVINGTON","Renewal Treat as New",2021-04-08,"Issued","ebps ren/dim to add disinfection spdes ny0027863",2021-04-28 04:00:00,2021-05-28 04:00:00,FALSE,FALSE
"NY0129542_2024-01-04","SALMON RIVER CENTRAL SCHOOL",248,"NY0129542","5-1642-00004/00001","SALMON RIVER CENTRAL SCHOOL DISTRICT","Renewal Treat as New",2024-01-04,"Issued","spdes fast track renewal for ny0129542",2024-01-17 05:00:00,2024-02-16 05:00:00,FALSE,FALSE
"NYR10R742_2024-01-04","SALMON RIVER CENTRAL SCHOOL",248,"NYR10R742","5-1642-00004/00001","SALMON RIVER CENTRAL SCHOOL DISTRICT","Renewal Treat as New",2024-01-04,"Issued","spdes fast track renewal for ny0129542",2024-01-17 05:00:00,2024-02-16 05:00:00,FALSE,FALSE
"NY0035335_2023-03-29","ADIRONDACK FISH CULTURE STATION",249,"NY0035335","5-1652-00134/00004","NYS Dept of Environmental Conservation","Renewal Treat as New",2023-03-29,"Issued","increase flow through treatment plant to 4.0 mgd from 3.6 mgd",2024-02-28 05:00:00,2024-03-29 04:00:00,FALSE,FALSE
"NY0022527_2021-02-09","SUNSET BAY VACATION RESORT",250,"NY0022527","5-1730-00011/00001","CVH CHARTER CORPORATION","Renewal Treat as New",2021-02-09,"Issued","spdes fast track renewal for # ny0022527",2021-08-25 04:00:00,2021-09-24 04:00:00,FALSE,FALSE
"NY0023329_2024-03-01","INDIAN LAKE SD",251,"NY0023329","5-2026-00008/00001","TOWN OF INDIAN LAKE","Renewal Treat as New",2024-03-01,"Issued","spdes fast track renewal for ny0023329",2024-03-27 04:00:00,2024-04-26 04:00:00,FALSE,FALSE
