1241996594	20250506	202505	2025	2025.3452											USA	WASHINGTON	USA								1	036	036	03	1	4.0	2	1	2	-6.02094240837696	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20250506020000	http://en.people.cn/n3/2025/0506/c90000-20310575.html
1241996595	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	040	040	04	1	1.0	8	1	8	0	0								3	Dayton, Ohio, United States	US	USOH	OH113	39.7589	-84.1916	1064514	3	Dayton, Ohio, United States	US	USOH	OH113	39.7589	-84.1916	1064514	20250506020000	https://www.yahoo.com/news/local-leaders-discuss-student-safety-233947198.html
1241996596	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	040	040	04	1	1.0	4	1	4	1.07142857142858	0								3	Tulsa, Oklahoma, United States	US	USOK	OK143	36.154	-95.9928	1100962	3	Tulsa, Oklahoma, United States	US	USOK	OK143	36.154	-95.9928	1100962	20250506020000	https://www.publicradiotulsa.org/local-regional/2025-05-05/new-tulsa-democrat-chair-wants-candidates-who-will-do-the-work
1241996597	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								0	040	040	04	1	1.0	3	1	3	-2.39520958083832	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250506020000	https://www.hindustantimes.com/india-news/ai-toronto-delhi-flight-diverted-as-5-toilets-clogged-101746472252320.html
1241996598	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								0	040	040	04	1	1.0	4	1	4	-3.60934182590234	0								3	Tucson, Arizona, United States	US	USAZ	AZ019	32.2217	-110.926	43534	3	Fountain Hills, Arizona, United States	US	USAZ		33.6117	-111.717	36980	20250506020000	https://azcapitoltimes.com/news/2025/05/05/abandoned-marana-prison-sold-back-to-original-owner-for-use-as-private-prison/
1241996599	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								0	040	040	04	1	1.0	1	1	1	-3.55329949238579	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20250506020000	http://www.chronline.com/stories/julie-mcdonald-ezra-meeker-visits-toledo-to-set-the-record-straight,380239
1241996600	20250506	202505	2025	2025.3452											USA	OHIO	USA								1	040	040	04	1	1.0	2	1	2	0	0								2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	3	Dayton, Ohio, United States	US	USOH	OH113	39.7589	-84.1916	1064514	20250506020000	https://www.yahoo.com/news/local-leaders-discuss-student-safety-233947198.html
1241996601	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								0	040	040	04	1	1.0	1	1	1	-3.55329949238579	0								2	Oregon, United States	US	USOR		44.5672	-122.127	OR	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20250506020000	http://www.chronline.com/stories/julie-mcdonald-ezra-meeker-visits-toledo-to-set-the-record-straight,380239
1241996602	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	3.58056265984655	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250506020000	https://www.latintimes.com/diana-ross-honors-her-family-emotional-2025-met-gala-comeback-582377
1241996603	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	-1.59489633173843	0								3	Northeastern University, Massachusetts, United States	US	USMA		42.3398	-71.0876	1971607	3	Northeastern University, Massachusetts, United States	US	USMA		42.3398	-71.0876	1971607	20250506020000	https://www.staradvertiser.com/2025/05/05/breaking-news/trump-calls-ai-pope-image-a-joke-but-experts-not-amused/
1241996604	20250506	202505	2025	2025.3452											USA	CHICAGO	USA								0	042	042	04	1	1.9	5	1	5	1.00775193798449	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250506020000	https://kevinmd.com/2025/05/avoiding-leadership-pitfalls-strategies-for-success-in-health-care-podcast.html
1241996605	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								0	042	042	04	1	1.9	1	1	1	-5.21091811414392	0								3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250506020000	https://www.fox5dc.com/news/kilmar-abrego-garcia-latest-trump-administration-ordered-hand-over-evidence-monday
1241996606	20250506	202505	2025	2025.3452											USA	MISSISSIPPI	USA								0	042	042	04	1	1.9	2	1	2	-3.55329949238579	0								2	Idaho, United States	US	USID		44.2394	-114.51	ID	3	Pocatello, Idaho, United States	US	USID	ID005	42.8713	-112.446	397053	20250506020000	http://www.chronline.com/stories/julie-mcdonald-ezra-meeker-visits-toledo-to-set-the-record-straight,380239
1241996607	20250506	202505	2025	2025.3452											USA	MISSISSIPPI	USA								0	042	042	04	1	1.9	8	1	8	-3.55329949238579	0								2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	3	Salt Lake, California, United States	US	USCA		36.7027	-117.81	232323	20250506020000	http://www.chronline.com/stories/julie-mcdonald-ezra-meeker-visits-toledo-to-set-the-record-straight,380239
1241996608	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								0	043	043	04	1	2.8	2	1	2	-3.83831521739131	0								3	Johnson County, Indiana, United States	US	USIN		39.4806	-86.055	450365	3	Johnson County, Indiana, United States	US	USIN		39.4806	-86.055	450365	20250506020000	https://dailyjournal.net/2025/05/05/protesters-in-franklin-advocate-for-workers-against-trumps-policies/
1241996609	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								0	043	043	04	1	2.8	8	1	8	-3.13531353135314	0								3	Vermejo River, New Mexico, United States	US	USNM		36.4867	-104.544	912095	3	Vermejo River, New Mexico, United States	US	USNM		36.4867	-104.544	912095	20250506020000	https://www.santafenewmexican.com/news/local_news/national-weather-service-rain-and-snow-helpful-but-unlikely-to-turn-drought-around/article_81adae2a-d519-45d1-8e2b-7546745eaadb.html
1241996610	20250506	202505	2025	2025.3452											USA	KENTUCKY	USA								1	043	043	04	1	2.8	14	1	10	2.45746691871456	0								2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20250506020000	https://www.winchesterstar.com/winchester_star/winchester-couple-foregoes-festival-parades-to-attend-kentucky-derby/article_ca8c6131-f4bf-5267-bcc9-e1d00471d567.html
1241996611	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	043	043	04	1	2.8	2	1	2	-3.2258064516129	0								2	Oregon, United States	US	USOR		44.5672	-122.127	OR	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250506020000	https://www.houstonpublicmedia.org/articles/news/local/galveston/2025/05/05/520605/man-dies-in-galveston-over-weekend-marking-islands-first-beachfront-drowning-of-2025/
1241996612	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	046	046	04	1	7.0	8	1	8	0	0								3	Dayton, Ohio, United States	US	USOH	OH113	39.7589	-84.1916	1064514	3	Dayton, Ohio, United States	US	USOH	OH113	39.7589	-84.1916	1064514	20250506020000	https://www.yahoo.com/news/local-leaders-discuss-student-safety-233947198.html
1241996613	20250506	202505	2025	2025.3452											USA	KANSAS	USA								1	046	046	04	1	7.0	10	1	10	-6.15384615384616	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20250506020000	https://www.ksdk.com/article/news/health/trump-slaps-down-missouri-lawsuit-against-abortion-pill-access/63-71120287-eb8c-48a8-a1e5-448a48d4c867
1241996614	20250506	202505	2025	2025.3452											USA	OHIO	USA								1	046	046	04	1	7.0	2	1	2	0	0								2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250506020000	https://www.yahoo.com/news/local-leaders-discuss-student-safety-233947198.html
1241996615	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	060	060	06	2	6.0	2	1	2	-2.99194476409666	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250506020000	https://hotair.com/john-s-2/2025/05/05/tariffs-are-having-a-dramatic-impact-on-chinas-economy-n3802467
1241996616	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	062	062	06	2	7.4	8	1	8	-0.34722222222222	0								3	City Of Caldwell, Idaho, United States	US	USID		43.6465	-116.661	2409956	3	City Of Caldwell, Idaho, United States	US	USID		43.6465	-116.661	2409956	20250506020000	https://www.ktvb.com/article/news/local/idaho-fish-and-game-and-caldwell-partner-to-address-invasive-weeds-at-rotary-pond-plants/277-417ae0f9-c111-4569-aa12-ad8030a21383
1241996617	20250506	202505	2025	2025.3452											USA	DENVER	USA								1	0874	087	08	2	10.0	5	1	5	-1.61001788908766	0								3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	20250506020000	https://www.ksut.org/2025-05-05/farms-are-turning-to-guest-workers-to-fill-labor-shortages-but-critics-say-it-still-isnt-enough
1241996618	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								0	112	112	11	3	-2.0	2	1	2	-8.15660685154976	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250506020000	https://bitcoinmagazine.com/news/filing-claims-u-s-prosecutors-knew-license-wasnt-required-for-samourai-wallet-prosecuted-them-anyways
1241996619	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								0	154	154	15	4	-7.2	1	1	1	-4.99021526418787	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250506020000	https://www.brecorder.com/news/40361183/with-militaries-upgraded-risks-multiply-in-conflict
1241996620	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								0	154	154	15	4	-7.2	1	1	1	-4.99021526418787	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250506020000	https://www.brecorder.com/news/40361183/with-militaries-upgraded-risks-multiply-in-conflict
1241996621	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	160	160	16	4	-4.0	4	1	4	-3.83386581469648	0								3	Cape May County, New Jersey, United States	US	USNJ		39.1501	-74.7829	882274	3	Cape May County, New Jersey, United States	US	USNJ		39.1501	-74.7829	882274	20250506020000	https://www.firehouse.com/leadership/news/55288099/veteran-firefighter-claims-retaliation-for-not-getting-chiefs-job-in-ocean-city-nj
1241996622	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	190	190	19	4	-10.0	2	1	2	-11.8110236220472	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20250506020000	https://westchester.news12.com/connecticut-man-sentenced-in-fatal-wrong-way-crash-on-hutchinson-river-parkway
1241996623	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	190	190	19	4	-10.0	2	1	2	-9.46502057613169	0								2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	20250506020000	http://www.chronline.com/stories/chehalis-man-18-sentenced-to-10-years-in-prison-after-arrest-in-january-for-drive-by-shooting-in,380247
1241996624	20250506	202505	2025	2025.3452											USA	UNITED STATES	USA								1	193	193	19	4	-10.0	2	1	2	-9.46502057613169	0								2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	20250506020000	http://www.chronline.com/stories/chehalis-man-18-sentenced-to-10-years-in-prison-after-arrest-in-january-for-drive-by-shooting-in,380247
1241996625	20250506	202505	2025	2025.3452											USACOP	UNITED STATES	USA					COP			1	112	112	11	3	-2.0	1	1	1	-1.85873605947955	0								3	Acton, Massachusetts, United States	US	USMA	MA017	42.4851	-71.4328	611424	3	Acton, Massachusetts, United States	US	USMA	MA017	42.4851	-71.4328	611424	20250506020000	https://www.wcvb.com/article/former-mass-police-official-charged-with-oui/64677733
1241996626	20250506	202505	2025	2025.3452											USAELI	MASSACHUSETTS	USA					ELI			1	112	112	11	3	-2.0	3	1	3	-1.85873605947955	0								3	Acton, Massachusetts, United States	US	USMA	MA017	42.4851	-71.4328	611424	3	Acton, Massachusetts, United States	US	USMA	MA017	42.4851	-71.4328	611424	20250506020000	https://www.wcvb.com/article/former-mass-police-official-charged-with-oui/64677733
1241996627	20250506	202505	2025	2025.3452											USAGOV	UNITED STATES	USA					GOV			0	084	084	08	2	7.0	1	1	1	-6.56779661016949	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20250506020000	https://www.ksdk.com/article/news/local/st-louis-tow-lot-federal-corruption-probe-whistleblower-auctions-missing-cars/63-c6260f43-0483-4c00-997b-93a0b60f334e
1241996628	20250506	202505	2025	2025.3452											USAGOV	OBAMA	USA					GOV			0	111	111	11	3	-2.0	6	1	6	-3.34448160535117	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250506020000	https://hotair.com/tree-hugging-sister/2025/05/05/obama-and-omar-whining-in-a-tree-irritating-the-crap-out-of-you-and-me-n3802459
1241996629	20250506	202505	2025	2025.3452											USAGOV	OBAMA	USA					GOV			0	114	114	11	3	-2.0	6	1	6	-3.34448160535117	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250506020000	https://hotair.com/tree-hugging-sister/2025/05/05/obama-and-omar-whining-in-a-tree-irritating-the-crap-out-of-you-and-me-n3802459
1241996630	20250506	202505	2025	2025.3452											USAGOV	UNITED STATES	USA					GOV			1	173	173	17	4	-5.0	2	1	2	-1.30861504907307	0								2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	20250506020000	https://www.houstonpublicmedia.org/npr/2025/05/05/g-s1-64393/states-sue-trump-administration-for-blocking-the-development-of-wind-energy/
1241996631	20250506	202505	2025	2025.3452											VAT	VATICAN	VAT								0	112	112	11	3	-2.0	6	1	6	-5.66228513650152	0								1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20250506020000	https://pacific.scoop.co.nz/2025/05/cardinals-confirm-pope-francis-failure-to-end-clerical-sexual-abuse/
1241996632	20250506	202505	2025	2025.3452											dak	SIOUX			dak						1	042	042	04	1	1.9	10	1	10	3.04259634888438	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20250506020000	https://www.yahoo.com/news/keloland-special-connection-zoo-penguins-232557765.html
1241996633	20250506	202505	2025	2025.3452											dak	SIOUX			dak						1	043	043	04	1	2.8	5	1	5	3.04259634888438	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20250506020000	https://www.yahoo.com/news/keloland-special-connection-zoo-penguins-232557765.html
1241996634	20250506	202505	2025	2025.3452	AFG	AFGHAN	AFG								JUD	COUNSEL						JUD			0	020	020	02	1	3.0	2	1	2	-1.12589559877175	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	1	Afghanistan	AF	AF		33	66	AF	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	20250506020000	https://www.brecorder.com/news/40361219/verdict-on-trial-by-military-courts-sc-reserves-judgement-on-icas
1241996635	20250506	202505	2025	2025.3452	AFG	AFGHAN	AFG								JUD	COUNSEL						JUD			0	020	020	02	1	3.0	8	1	8	-1.12589559877175	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20250506020000	https://www.brecorder.com/news/40361219/verdict-on-trial-by-military-courts-sc-reserves-judgement-on-icas
1241996636	20250506	202505	2025	2025.3452	AFR	AFRICA	AFR								LBR	LIBERIA	LBR								1	042	042	04	1	1.9	5	1	5	0.462962962962963	4	Monrovia, Montserrado, Liberia	LI	LI14	147290	6.31056	-10.8047	-2134012	4	Monrovia, Montserrado, Liberia	LI	LI14	147290	6.31056	-10.8047	-2134012	4	Monrovia, Montserrado, Liberia	LI	LI14	147290	6.31056	-10.8047	-2134012	20250506020000	https://www.vogue.com/slideshow/dapper-dan-2025-met-gala
1241996637	20250506	202505	2025	2025.3452	AFR	AFRICA	AFR								USA	UNITED STATES	USA								1	040	040	04	1	1.0	2	1	2	2.28136882129277	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250506020000	https://www.vogue.com/slideshow/questlove-met-gala-2025-gabriela-hearst
1241996638	20250506	202505	2025	2025.3452	AGR	FARMER						AGR													0	043	043	04	1	2.8	5	1	5	-1.14503816793894	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20250506020000	https://www.ksut.org/environment-climate/2025-05-05/the-colorado-river-needs-some-shared-pain-to-break-a-deadlock-water-experts-say
1241996639	20250506	202505	2025	2025.3452	AGR	FARMER						AGR			LAB	WORKER						LAB			1	020	020	02	1	3.0	8	1	8	-1.61001788908766	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	20250506020000	https://www.ksut.org/2025-05-05/farms-are-turning-to-guest-workers-to-fill-labor-shortages-but-critics-say-it-still-isnt-enough
1241996640	20250506	202505	2025	2025.3452	AGR	FARMER						AGR			LAB	WORKER						LAB			1	020	020	02	1	3.0	2	1	2	-1.61001788908766	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	2	Idaho, United States	US	USID		44.2394	-114.51	ID	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	20250506020000	https://www.ksut.org/2025-05-05/farms-are-turning-to-guest-workers-to-fill-labor-shortages-but-critics-say-it-still-isnt-enough
1241996641	20250506	202505	2025	2025.3452	ARE	UNITED ARAB EMIRATES	ARE																		1	173	173	17	4	-5.0	2	1	2	-7.97720797720798	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250506020000	https://www.hindustantimes.com/trending/indian-billionaire-balvinder-singh-sahni-sentenced-to-5-years-in-jail-in-dubai-for-money-laundering-101746495485669.html
1241996642	20250506	202505	2025	2025.3452	ARE	UNITED ARAB EMIRATES	ARE																		1	173	173	17	4	-5.0	2	1	2	-7.97720797720798	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	0								4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	28575	25.1723	55.2444	11414110	20250506020000	https://www.hindustantimes.com/trending/indian-billionaire-balvinder-singh-sahni-sentenced-to-5-years-in-jail-in-dubai-for-money-laundering-101746495485669.html
1241996643	20250506	202505	2025	2025.3452	ARE	DUBAI	ARE								BUS	COMPANIES						BUS			1	173	173	17	4	-5.0	7	1	7	-7.97720797720798	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250506020000	https://www.hindustantimes.com/trending/indian-billionaire-balvinder-singh-sahni-sentenced-to-5-years-in-jail-in-dubai-for-money-laundering-101746495485669.html
1241996644	20250506	202505	2025	2025.3452	ARE	DUBAI	ARE								BUS	COMPANIES						BUS			1	193	193	19	4	-10.0	7	1	7	-7.97720797720798	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250506020000	https://www.hindustantimes.com/trending/indian-billionaire-balvinder-singh-sahni-sentenced-to-5-years-in-jail-in-dubai-for-money-laundering-101746495485669.html
1241996645	20250506	202505	2025	2025.3452	ARE	DUBAI	ARE								COP	PRISON						COP			1	173	173	17	4	-5.0	10	1	10	-7.97720797720798	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250506020000	https://www.hindustantimes.com/trending/indian-billionaire-balvinder-singh-sahni-sentenced-to-5-years-in-jail-in-dubai-for-money-laundering-101746495485669.html
1241996646	20250506	202505	2025	2025.3452	AUS	AUSTRALIA	AUS																		1	010	010	01	1	0.0	4	1	4	-6.38297872340425	4	Morwell, Victoria, Australia	AS	AS07	5424	-38.2348	146.395	-1589033	0								4	Morwell, Victoria, Australia	AS	AS07	5424	-38.2348	146.395	-1589033	20250506020000	https://www.dailymail.co.uk/news/article-14681493/Erin-Patterson-mushroom-murder-trial-LIVE-updates.html
1241996647	20250506	202505	2025	2025.3452	AUS	AUSTRALIA	AUS																		0	020	020	02	1	3.0	1	1	1	-2.19575735020469	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	0								4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	20250506020000	https://www.mandurahmail.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996648	20250506	202505	2025	2025.3452	AUS	AUSTRALIAN	AUS																		0	020	020	02	1	3.0	53	7	53	-2.20039546263705	4	Marrickville, New South Wales, Australia	AS	AS02	5045	-33.9167	151.167	-1586038	0								4	Marrickville, New South Wales, Australia	AS	AS02	5045	-33.9167	151.167	-1586038	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996649	20250506	202505	2025	2025.3452	AUS	AUSTRALIA	AUS																		0	020	020	02	1	3.0	1	1	1	-2.19941348973607	4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	0								4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	20250506020000	https://www.batemansbaypost.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996650	20250506	202505	2025	2025.3452	AUS	AUSTRALIA	AUS																		0	020	020	02	1	3.0	1	1	1	-2.21402214022141	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.naroomanewsonline.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996651	20250506	202505	2025	2025.3452	AUS	AUSTRALIA	AUS																		0	040	040	04	1	1.0	2	1	2	2.37430167597765	1	Australia	AS	AS		-25	135	AS	0								1	Australia	AS	AS		-25	135	AS	20250506020000	https://itbrief.co.nz/story/ai-powered-eh-hiring-tool-offers-free-job-matching-in-nz
1241996652	20250506	202505	2025	2025.3452	AUS	TASMANIA	AUS																		1	042	042	04	1	1.9	1	1	1	-1.77215189873418	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	0								4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	20250506020000	https://www.mandurahmail.com.au/story/8959205/young-cancer-survivor-highlights-challenges-faced-by-her-demographic/
1241996653	20250506	202505	2025	2025.3452	AUS	TASMANIA	AUS																		1	042	042	04	1	1.9	1	1	1	-1.79445350734094	4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	0								4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	20250506020000	https://www.batemansbaypost.com.au/story/8959205/young-cancer-survivor-highlights-challenges-faced-by-her-demographic/
1241996654	20250506	202505	2025	2025.3452	AUS	TASMANIA	AUS																		1	042	042	04	1	1.9	1	1	1	-1.82119205298013	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.naroomanewsonline.com.au/story/8959205/young-cancer-survivor-highlights-challenges-faced-by-her-demographic/
1241996655	20250506	202505	2025	2025.3452	AUS	SYDNEY	AUS																		0	042	042	04	1	1.9	3	1	3	-0.45662100456621	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250506020000	https://hotair.com/tree-hugging-sister/2025/05/05/the-met-gala-is-tonight-not-much-of-a-party-as-i-wasnt-invited-n3802465
1241996656	20250506	202505	2025	2025.3452	AUS	AUSTRALIAN	AUS																		0	043	043	04	1	2.8	4	1	4	-2.19575735020469	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	0								4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	20250506020000	https://www.mandurahmail.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996657	20250506	202505	2025	2025.3452	AUS	AUSTRALIAN	AUS																		0	043	043	04	1	2.8	50	7	50	-2.20023533079203	4	Marrickville, New South Wales, Australia	AS	AS02	5045	-33.9167	151.167	-1586038	0								4	Marrickville, New South Wales, Australia	AS	AS02	5045	-33.9167	151.167	-1586038	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996658	20250506	202505	2025	2025.3452	AUS	AUSTRALIAN	AUS																		0	043	043	04	1	2.8	4	1	4	-2.19941348973607	4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	0								4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	20250506020000	https://www.batemansbaypost.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996659	20250506	202505	2025	2025.3452	AUS	AUSTRALIAN	AUS																		0	043	043	04	1	2.8	4	1	4	-2.21402214022141	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.naroomanewsonline.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996660	20250506	202505	2025	2025.3452	AUS	AUSTRALIA	AUS																		1	112	112	11	3	-2.0	2	1	2	-6.38297872340425	4	Morwell, Victoria, Australia	AS	AS07	5424	-38.2348	146.395	-1589033	0								4	Morwell, Victoria, Australia	AS	AS07	5424	-38.2348	146.395	-1589033	20250506020000	https://www.dailymail.co.uk/news/article-14681493/Erin-Patterson-mushroom-murder-trial-LIVE-updates.html
