One occupation for multiple industries,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation: Data Scientists (SOC code 15-2051),,,,,,,,,,,,,,,
Period: May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2)
"Web Search Portals, Libraries, Archives, and Other Information Services (51-9200)","2,090",9.9,$78.36,"$163,000",3.2,$24.23,$45.38,$71.11,$101.47,(5) -,"$50,400","$94,390","$147,900","$211,050",(5) -
Sector 52 - Finance and Insurance (52---53),"33,620",1.6,$58.76,"$122,230",0.7,$31.89,$41.45,$56.12,$70.53,$85.89,"$66,320","$86,210","$116,730","$146,710","$178,650"
Monetary Authorities-Central Bank (52-1000),210,3.0,$58.07,"$120,780",0.4,$31.85,$39.86,$53.15,$67.82,$79.88,"$66,250","$82,910","$110,560","$141,060","$166,140"
Monetary Authorities-Central Bank (52-1100),210,3.0,$58.07,"$120,780",0.4,$31.85,$39.86,$53.15,$67.82,$79.88,"$66,250","$82,910","$110,560","$141,060","$166,140"
Credit Intermediation and Related Activities (52-2000),"12,590",1.7,$61.38,"$127,670",0.6,$35.18,$45.71,$60.86,$73.97,$86.16,"$73,180","$95,090","$126,590","$153,850","$179,200"
Credit Intermediation and Related Activities (5221 and 5223 only) (52-20A1),"9,130",1.8,$61.35,"$127,600",0.7,$36.11,$47.39,$61.39,$73.76,$86.09,"$75,110","$98,570","$127,690","$153,420","$179,060"
Nondepository Credit Intermediation (52-2200),"3,460",3.7,$61.48,"$127,870",0.9,$34.17,$43.95,$56.70,$74.60,$91.23,"$71,080","$91,410","$117,930","$155,170","$189,770"
Other Nondepository Credit Intermediation (52-2290),"2,330",4.6,$60.16,"$125,140",1.0,$34.17,$43.29,$55.91,$70.63,$84.51,"$71,080","$90,040","$116,290","$146,910","$175,790"
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities (52-3000)","4,700",4.7,$69.30,"$144,150",1.7,$39.66,$49.62,$64.68,$84.65,$101.81,"$82,490","$103,210","$134,540","$176,070","$211,750"
Insurance Carriers and Related Activities (52-4000),"15,970",3.1,$53.60,"$111,480",1.5,$29.89,$38.17,$50.19,$64.55,$79.81,"$62,170","$79,400","$104,390","$134,260","$166,000"
Insurance Carriers (52-4100),"11,590",3.6,$54.37,"$113,100",1.8,$31.65,$39.53,$50.53,$64.53,$79.18,"$65,830","$82,230","$105,110","$134,220","$164,680"
Direct Health and Medical Insurance Carriers (52-4114),"5,310",2.5,$50.91,"$105,900",0.6,$31.66,$38.94,$49.85,$61.47,$72.26,"$65,840","$81,000","$103,690","$127,870","$150,310"
"Direct Insurance (except Life, Health, and Medical) Carriers (52-4120)","3,270",2.1,$55.42,"$115,270",0.9,$32.24,$41.72,$51.64,$64.77,$79.56,"$67,060","$86,770","$107,410","$134,720","$165,480"
"Agencies, Brokerages, and Other Insurance Related Activities (52-4200)","4,370",5.4,$51.54,"$107,200",2.4,$28.61,$32.48,$47.29,$65.14,$83.78,"$59,500","$67,550","$98,360","$135,490","$174,260"
Insurance Agencies and Brokerages (52-4210),"1,900",6.3,$53.70,"$111,690",3.4,$27.18,$36.32,$49.78,$68.17,$82.08,"$56,530","$75,540","$103,550","$141,790","$170,720"
Other Insurance Related Activities (52-4290),"2,480",7.0,$49.89,"$103,770",2.3,$29.17,$31.01,$43.71,$61.75,$85.14,"$60,670","$64,490","$90,920","$128,440","$177,080"
"Funds, Trusts, and Other Financial Vehicles (52-5000)",150,20.0,$59.56,"$123,880",11.2,$30.82,$39.76,$48.15,$76.41,$93.70,"$64,110","$82,710","$100,140","$158,940","$194,900"
Other Investment Pools and Funds (52-5900),120,24.5,$60.60,"$126,040",15.4,$31.75,$47.81,$50.86,$76.41,$101.73,"$66,030","$99,440","$105,790","$158,940","$211,590"
Sector 53 - Real Estate and Rental and Leasing (53---54),"1,230",20.0,$51.56,"$107,240",5.5,$27.44,$33.78,$48.08,$62.77,$82.42,"$57,080","$70,270","$100,000","$130,560","$171,430"
Real Estate (53-1000),"1,030",24.1,$52.51,"$109,230",6.2,$27.37,$30.40,$49.58,$64.90,$86.71,"$56,930","$63,230","$103,130","$134,990","$180,360"
Rental and Leasing Services (53-2000),130,22.2,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -
"Rental and Leasing Services (5322, 5323, and 5324 only) (53-20A1)",80,34.4,$51.38,"$106,870",6.2,$35.45,$44.29,$49.43,$53.41,$79.13,"$73,740","$92,110","$102,810","$111,080","$164,590"
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) (53-3000),70,27.0,$46.56,"$96,840",7.2,$31.70,$37.16,$40.86,$49.27,$78.72,"$65,940","$77,290","$84,990","$102,490","$163,730"
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) (53-3100),70,27.0,$46.56,"$96,840",7.2,$31.70,$37.16,$40.86,$49.27,$78.72,"$65,940","$77,290","$84,990","$102,490","$163,730"
"Sector 54 - Professional, Scientific, and Technical Services (54---55)","60,800",2.4,$58.59,"$121,870",0.9,$30.49,$39.78,$53.42,$74.05,$91.13,"$63,410","$82,740","$111,110","$154,020","$189,540"
"Professional, Scientific, and Technical Services (54-1000)","60,800",2.4,$58.59,"$121,870",0.9,$30.49,$39.78,$53.42,$74.05,$91.13,"$63,410","$82,740","$111,110","$154,020","$189,540"
Legal Services (54-1100),700,14.6,$41.14,"$85,570",2.9,$21.56,$25.82,$33.81,$53.52,$76.00,"$44,840","$53,700","$70,320","$111,320","$158,090"
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services (54-1200)","4,020",3.5,$63.36,"$131,780",1.6,$35.16,$41.77,$61.68,$81.40,$103.34,"$73,140","$86,890","$128,300","$169,300","$214,940"
"Architectural, Engineering, and Related Services (54-1300)","4,100",7.8,$49.47,"$102,890",1.5,$23.65,$34.64,$43.96,$61.18,$81.28,"$49,200","$72,060","$91,440","$127,260","$169,060"
Engineering Services (54-1330),"3,480",9.2,$50.91,"$105,880",1.6,$26.35,$37.17,$45.67,$61.86,$83.30,"$54,810","$77,310","$94,990","$128,670","$173,260"
Testing Laboratories and Services (54-1380),440,9.7,$40.83,"$84,920",3.8,$19.56,$24.24,$35.55,$48.97,$75.57,"$40,690","$50,430","$73,950","$101,850","$157,180"
Specialized Design Services (54-1400),70,18.9,$65.12,"$135,450",10.4,$33.01,$43.23,$61.04,$81.18,$94.10,"$68,660","$89,920","$126,960","$168,860","$195,740"
Computer Systems Design and Related Services (54-1500),"23,150",4.5,$60.72,"$126,310",1.5,$33.06,$43.76,$56.92,$76.74,$94.62,"$68,770","$91,010","$118,400","$159,620","$196,800"
"Management, Scientific, and Technical Consulting Services (54-1600)","12,720",5.7,$55.79,"$116,050",2.6,$29.05,$37.75,$49.52,$68.27,$85.89,"$60,420","$78,530","$103,000","$141,990","$178,640"
Scientific Research and Development Services (54-1700),"10,130",3.0,$63.01,"$131,060",1.1,$32.73,$45.33,$60.78,$78.36,$98.22,"$68,070","$94,280","$126,430","$162,990","$204,290"
"Research and Development in the Physical, Engineering, and Life Sciences (54-1710)","9,390",3.4,$63.54,"$132,160",1.0,$34.08,$46.64,$61.23,$78.88,$98.35,"$70,880","$97,000","$127,360","$164,080","$204,560"
Research and Development in the Social Sciences and Humanities (54-1720),740,17.4,$56.28,"$117,060",6.0,$23.44,$36.54,$49.04,$70.53,$93.98,"$48,760","$76,010","$102,010","$146,700","$195,490"
"Advertising, Public Relations, and Related Services (54-1800)","1,970",12.8,$52.97,"$110,170",3.6,$28.36,$35.71,$48.52,$65.85,$82.01,"$58,980","$74,280","$100,930","$136,970","$170,580"
"Other Professional, Scientific, and Technical Services (54-1900)","3,950",15.7,$54.21,"$112,750",2.7,$28.30,$38.75,$53.11,$64.95,$79.13,"$58,870","$80,600","$110,470","$135,090","$164,580"
Sector 55 - Management of Companies and Enterprises (55---56),"19,060",1.4,$57.63,"$119,870",0.6,$33.35,$41.08,$55.18,$68.24,$81.23,"$69,370","$85,450","$114,780","$141,950","$168,950"
Management of Companies and Enterprises (55-1000),"19,060",1.4,$57.63,"$119,870",0.6,$33.35,$41.08,$55.18,$68.24,$81.23,"$69,370","$85,450","$114,780","$141,950","$168,950"
Management of Companies and Enterprises (55-1100),"19,060",1.4,$57.63,"$119,870",0.6,$33.35,$41.08,$55.18,$68.24,$81.23,"$69,370","$85,450","$114,780","$141,950","$168,950"
Administrative and Support and Waste Management and Remediation Services (56---57),"12,310",3.5,$51.01,"$106,100",1.8,$24.03,$31.92,$45.87,$63.67,$82.13,"$49,980","$66,400","$95,410","$132,430","$170,840"
Administrative and Support Services (56-1000),"12,270",3.5,$50.99,"$106,060",1.8,$24.03,$31.88,$45.87,$63.52,$82.15,"$49,980","$66,310","$95,410","$132,120","$170,870"
Office Administrative Services (56-1100),"2,330",8.8,$47.18,"$98,140",4.4,$25.93,$34.43,$45.87,$54.86,$75.67,"$53,940","$71,620","$95,410","$114,110","$157,390"
Facilities Support Services (56-1200),70,28.2,$42.97,"$89,380",8.0,$28.84,$29.48,$34.50,$59.19,$60.61,"$59,990","$61,310","$71,760","$123,110","$126,070"
Employment Services (56-1300),"7,040",4.3,$54.23,"$112,800",1.7,$25.00,$32.83,$49.42,$67.00,$88.31,"$52,000","$68,280","$102,790","$139,360","$183,680"
Temporary Help Services (56-1320),"4,790",4.4,$50.14,"$104,280",2.2,$23.64,$31.76,$43.74,$62.16,$79.35,"$49,180","$66,050","$90,980","$129,300","$165,050"
Business Support Services (56-1400),"1,590",7.1,$43.04,"$89,530",5.0,$19.24,$27.93,$39.35,$51.07,$65.20,"$40,020","$58,100","$81,850","$106,230","$135,620"
Travel Arrangement and Reservation Services (56-1500),660,14.8,$59.61,"$123,980",2.5,$32.78,$41.69,$64.95,$66.01,$106.73,"$68,180","$86,720","$135,090","$137,300","$221,990"
Investigation and Security Services (56-1600),160,13.2,$50.36,"$104,750",6.8,$27.21,$32.02,$45.86,$65.32,$82.80,"$56,610","$66,610","$95,390","$135,860","$172,210"
"Investigation, Guard, and Armored Car Services (56-1610)",90,19.2,$51.52,"$107,160",11.9,$24.39,$37.76,$46.19,$76.72,$82.80,"$50,730","$78,540","$96,080","$159,580","$172,220"
Security Systems Services (56-1620),70,17.9,$48.88,"$101,670",10.4,$28.06,$29.44,$39.62,$65.30,$80.88,"$58,350","$61,240","$82,410","$135,820","$168,230"
Landscaping Services (56-1730),30,36.9,$34.33,"$71,410",4.7,$25.28,$31.44,$31.78,$35.94,$46.36,"$52,590","$65,390","$66,110","$74,760","$96,420"
Other Support Services (56-1900),(8) -,(8) -,$41.16,"$85,610",8.7,$24.02,$31.93,$38.36,$46.22,$63.05,"$49,950","$66,410","$79,790","$96,140","$131,150"
Waste Management and Remediation Services (56-2000),40,24.1,$57.98,"$120,610",7.0,$32.55,$42.12,$64.52,$69.05,$80.42,"$67,690","$87,610","$134,210","$143,610","$167,280"
Sector 61 - Educational Services (61---62),"6,910",2.3,$41.79,"$86,920",1.8,$25.01,$31.13,$38.07,$49.09,$63.76,"$52,020","$64,740","$79,190","$102,100","$132,630"
Educational Services (61-1000),"6,910",2.3,$41.79,"$86,920",1.8,$25.01,$31.13,$38.07,$49.09,$63.76,"$52,020","$64,740","$79,190","$102,100","$132,630"
"Educational Services, State Government Owned (61-1002)","2,490",0.5,$38.15,"$79,340",0.5,$24.50,$29.52,$33.56,$42.77,$54.39,"$50,950","$61,400","$69,790","$88,960","$113,140"
"Educational Services, Local Government Owned (61-1003)","1,190",11.7,$43.70,"$90,900",10.2,$24.67,$30.42,$37.10,$49.52,$69.04,"$51,310","$63,270","$77,170","$102,990","$143,600"
"Educational Services, Privately Owned (61-1005)","3,230",3.9,$43.89,"$91,280",1.0,$27.27,$32.22,$39.57,$50.86,$69.83,"$56,720","$67,010","$82,310","$105,790","$145,250"
Elementary and Secondary Schools (61-1100),980,16.7,$45.30,"$94,210",11.3,$24.23,$29.77,$37.92,$51.61,$81.16,"$50,410","$61,920","$78,870","$107,340","$168,810"
"Elementary and Secondary Schools, Local Government Owned (61-1103)",820,17.8,$46.79,"$97,320",13.5,$25.47,$30.61,$39.04,$59.32,$81.16,"$52,970","$63,660","$81,210","$123,380","$168,820"
"Elementary and Secondary Schools, Privately Owned (61-1105)",160,17.3,$37.53,"$78,060",5.3,$20.85,$27.61,$36.05,$47.61,$50.23,"$43,380","$57,420","$74,980","$99,030","$104,490"
"Junior Colleges (including private, state, and local government owned) (61-1200)",320,1.7,$35.73,"$74,320",0.7,$23.78,$27.81,$33.59,$40.49,$52.30,"$49,460","$57,830","$69,870","$84,210","$108,790"
"Junior Colleges, State Government Owned (61-1202)",100,1.8,$38.47,"$80,020",0.7,$23.81,$29.00,$38.60,$46.55,$57.40,"$49,520","$60,320","$80,290","$96,830","$119,390"
"Junior Colleges, Local Government Owned (61-1203)",200,2.3,$34.31,"$71,360",0.7,$23.78,$25.92,$32.81,$39.04,$49.88,"$49,460","$53,920","$68,250","$81,210","$103,740"
"Colleges, Universities, and Professional Schools (61-1300)","4,460",1.2,$39.45,"$82,060",0.4,$24.81,$31.15,$37.36,$46.48,$56.04,"$51,600","$64,790","$77,720","$96,680","$116,560"
"Colleges, Universities, and Professional Schools, State Government Owned (61-1302)","2,380",0.5,$38.15,"$79,360",0.5,$24.50,$29.93,$33.56,$41.98,$54.04,"$50,950","$62,250","$69,790","$87,310","$112,400"
"Colleges, Universities, and Professional Schools, Local Government Owned (61-1303)",120,2.4,$39.75,"$82,680",0.6,$32.27,$37.10,$37.10,$45.70,$45.70,"$67,130","$77,170","$77,170","$95,060","$95,060"
"Colleges, Universities, and Professional Schools, Privately Owned (61-1305)","1,970",2.6,$41.00,"$85,290",0.5,$26.67,$32.11,$39.27,$47.60,$58.42,"$55,470","$66,780","$81,680","$99,000","$121,500"
Business Schools and Computer and Management Training (61-1400),190,19.9,$52.87,"$109,970",6.3,$29.11,$32.84,$50.15,$67.23,$79.00,"$60,540","$68,300","$104,310","$139,830","$164,310"
"Business Schools and Computer and Management Training, Privately Owned (61-1405)",190,21.0,$53.33,"$110,920",6.7,$29.11,$32.84,$50.67,$67.27,$79.89,"$60,540","$68,300","$105,390","$139,910","$166,170"
Technical and Trade Schools (61-1500),110,9.4,$42.61,"$88,640",6.0,$25.96,$30.24,$32.24,$46.70,$79.45,"$54,000","$62,900","$67,050","$97,130","$165,260"
"Technical and Trade Schools, Privately Owned (61-1505)",90,10.6,$44.86,"$93,300",6.8,$27.78,$31.15,$38.56,$46.70,$81.73,"$57,770","$64,790","$80,200","$97,130","$170,000"
Other Schools and Instruction (61-1600),70,23.7,$37.36,"$77,700",6.9,$23.82,$25.15,$38.59,$45.87,$50.18,"$49,550","$52,310","$80,260","$95,410","$104,380"
"Other schools and instruction, Privately owned (61-1605)",70,23.0,$37.36,"$77,700",6.9,$23.82,$25.15,$38.59,$45.87,$50.18,"$49,550","$52,310","$80,260","$95,410","$104,380"
Educational Support Services (61-1700),(8) -,(8) -,$50.68,"$105,410",3.9,$29.25,$33.81,$49.37,$68.63,$73.48,"$60,830","$70,320","$102,690","$142,750","$152,830"
"Educational Support Services, Local Government Owned (61-1703)",30,28.0,$43.25,"$89,950",8.5,$29.27,$33.57,$36.44,$47.03,$77.80,"$60,880","$69,830","$75,790","$97,810","$161,810"
"Educational Support Services, Privately Owned (61-1705)",(8) -,(8) -,$51.00,"$106,090",4.1,$29.25,$33.81,$49.37,$69.01,$73.48,"$60,830","$70,320","$102,690","$143,530","$152,830"
Sector 62 - Health Care and Social Assistance (62---63),"9,650",2.9,$44.65,"$92,880",0.8,$25.54,$31.86,$40.57,$52.48,$66.82,"$53,130","$66,260","$84,390","$109,160","$138,990"
Ambulatory Health Care Services (62-1000),"3,420",5.1,$47.19,"$98,160",1.6,$26.60,$32.91,$42.50,$56.40,$71.71,"$55,320","$68,460","$88,400","$117,300","$149,160"
Offices of Physicians (62-1100),"1,070",10.1,$40.49,"$84,220",1.6,$24.27,$29.68,$38.18,$47.46,$58.89,"$50,480","$61,740","$79,410","$98,710","$122,480"
Offices of Other Health Practitioners (62-1300),320,20.8,$52.61,"$109,440",8.5,$34.19,$39.91,$50.92,$64.66,$71.71,"$71,100","$83,020","$105,910","$134,490","$149,160"
"Offices of Physical, Occupational and Speech Therapists, and Audiologists (62-1340)",(8) -,(8) -,$44.96,"$93,510",11.4,$37.05,$39.91,$40.21,$50.91,$63.83,"$77,070","$83,020","$83,630","$105,890","$132,760"
Offices of All Other Health Practitioners (62-1390),220,40.9,$56.78,"$118,100",9.2,$34.19,$50.48,$59.51,$71.71,$71.71,"$71,100","$105,000","$123,790","$149,160","$149,160"
Outpatient Care Centers (62-1400),920,6.5,$43.83,"$91,160",3.1,$24.03,$30.51,$41.44,$52.22,$63.53,"$49,990","$63,450","$86,190","$108,620","$132,150"
Outpatient Mental Health and Substance Abuse Centers (62-1420),320,16.9,$37.06,"$77,080",8.2,$19.33,$23.94,$29.98,$43.61,$56.04,"$40,210","$49,800","$62,360","$90,710","$116,550"
Medical and Diagnostic Laboratories (62-1500),400,17.8,$62.72,"$130,460",5.9,$28.13,$39.24,$52.37,$78.68,(5) -,"$58,500","$81,620","$108,930","$163,660",(5) -
Home Health Care Services (62-1600),180,20.0,$46.85,"$97,450",2.1,$32.54,$38.42,$45.38,$52.40,$61.32,"$67,680","$79,900","$94,380","$109,000","$127,550"
Other Ambulatory Health Care Services (62-1900),500,14.8,$52.57,"$109,350",4.5,$31.48,$36.59,$45.67,$65.19,$90.03,"$65,480","$76,110","$94,990","$135,600","$187,260"
All Other Ambulatory Health Care Services (62-1990),480,15.2,$53.60,"$111,480",4.6,$32.37,$36.86,$47.42,$66.14,$91.34,"$67,340","$76,670","$98,630","$137,560","$189,990"
Hospitals (62-2000),"4,670",0.3,$46.12,"$95,930",0.3,$28.67,$34.76,$43.39,$54.17,$66.44,"$59,620","$72,290","$90,260","$112,670","$138,190"
"Hospitals, State Government Owned (62-2002)",450,0.4,$56.81,"$118,160",0.5,$31.52,$40.58,$55.82,$68.83,$84.77,"$65,550","$84,410","$116,100","$143,160","$176,330"
"Hospitals, Local Government Owned (62-2003)",360,1.1,$46.14,"$95,970",0.3,$24.63,$34.38,$42.13,$58.77,$68.01,"$51,240","$71,510","$87,630","$122,230","$141,450"
"Hospitals, Privately Owned (62-2005)","3,860",0.2,$44.87,"$93,330",0.3,$28.47,$34.11,$42.82,$52.89,$62.93,"$59,220","$70,940","$89,070","$110,000","$130,900"
General Medical and Surgical Hospitals (62-2100),"4,430",0.4,$46.11,"$95,920",0.3,$28.67,$34.69,$43.33,$54.17,$66.82,"$59,620","$72,140","$90,120","$112,670","$138,990"
"General Medical and Surgical Hospitals, State Government Owned (62-2102)",430,0.5,$57.58,"$119,770",0.5,$31.52,$40.58,$55.82,$68.83,$84.77,"$65,550","$84,410","$116,100","$143,160","$176,330"
"General Medical and Surgical Hospitals, Local Government Owned (62-2103)",350,0.9,$46.16,"$96,010",0.4,$24.63,$34.38,$42.14,$58.77,$68.01,"$51,240","$71,510","$87,650","$122,230","$141,450"
"General Medical and Surgical Hospitals, Privately Owned (62-2105)","3,650",0.3,$44.75,"$93,090",0.3,$28.45,$33.66,$42.29,$52.24,$62.93,"$59,180","$70,020","$87,970","$108,670","$130,900"
Psychiatric and Substance Abuse Hospitals (62-2200),40,3.2,$38.09,"$79,230",1.2,$25.38,$32.95,$36.84,$42.08,$48.17,"$52,780","$68,540","$76,630","$87,520","$100,200"
Specialty (except Psychiatric and Substance Abuse) Hospitals (62-2300),190,1.3,$47.82,"$99,460",0.5,$29.54,$37.25,$47.40,$53.16,$65.66,"$61,450","$77,470","$98,580","$110,570","$136,570"
"Specialty (except Psychiatric and Substance Abuse) Hospitals, Privately Owned (62-2305)",180,1.4,$48.13,"$100,120",0.5,$29.54,$37.25,$47.40,$53.16,$65.66,"$61,450","$77,470","$98,580","$110,570","$136,570"
Nursing and Residential Care Facilities (62-3000),160,15.3,$34.15,"$71,030",2.6,$23.89,$24.80,$32.13,$38.78,$47.89,"$49,690","$51,590","$66,840","$80,660","$99,620"
Nursing Care Facilities (Skilled Nursing Facilities) (62-3100),60,26.5,$36.08,"$75,040",2.3,$23.89,$24.78,$36.50,$42.05,$54.31,"$49,690","$51,550","$75,910","$87,470","$112,960"
"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities (62-3200)",60,18.9,$33.16,"$68,980",5.6,$22.56,$24.52,$30.41,$38.14,$41.12,"$46,920","$50,990","$63,250","$79,340","$85,530"
Residential Mental Health and Substance Abuse Facilities (62-3220),50,29.0,$30.13,"$62,680",7.8,$21.68,$24.52,$28.14,$37.75,$39.36,"$45,080","$50,990","$58,520","$78,520","$81,860"
Social Assistance (62-4000),"1,410",14.4,$34.81,"$72,410",1.8,$23.01,$25.72,$32.32,$38.15,$49.40,"$47,860","$53,490","$67,220","$79,340","$102,750"
Individual and Family Services (62-4100),870,6.8,$34.17,"$71,070",2.2,$22.84,$25.56,$30.83,$38.45,$48.32,"$47,510","$53,170","$64,130","$79,980","$100,510"
Services for the Elderly and Persons with Disabilities (62-4120),220,18.4,$35.75,"$74,370",4.0,$24.29,$26.35,$30.73,$44.34,$50.86,"$50,530","$54,810","$63,920","$92,230","$105,790"
"Community Food and Housing, and Emergency and Other Relief Services (62-4200)",240,8.6,$38.32,"$79,710",4.5,$23.28,$27.18,$34.46,$49.50,$59.29,"$48,430","$56,540","$71,670","$102,950","$123,320"
Vocational Rehabilitation Services (62-4300),130,13.8,$32.06,"$66,690",5.5,$22.26,$24.59,$31.65,$36.94,$43.62,"$46,290","$51,150","$65,830","$76,840","$90,730"
"Sector 71 - Arts, Entertainment, and Recreation (71---72)",480,6.4,$44.10,"$91,730",7.0,$24.03,$31.03,$39.27,$54.19,$73.82,"$49,980","$64,550","$81,680","$112,710","$153,550"
"Performing Arts, Spectator Sports, and Related Industries (71-1000)",300,8.5,$42.99,"$89,420",2.8,$23.01,$31.25,$39.27,$52.93,$66.23,"$47,860","$65,000","$81,680","$110,090","$137,760"
Spectator Sports (71-1200),230,9.0,$43.76,"$91,010",2.5,$21.34,$32.12,$40.54,$53.30,$65.93,"$44,400","$66,810","$84,320","$110,870","$137,130"
"Promoters of Performing Arts, Sports, and Similar Events (71-1300)",60,17.8,$39.39,"$81,930",5.8,$28.40,$29.56,$34.96,$45.57,$63.78,"$59,070","$61,470","$72,710","$94,790","$132,660"
"Museums, Historical Sites, and Similar Institutions (71-2000)",80,10.5,$35.30,"$73,420",1.3,$19.65,$25.11,$33.07,$43.55,$58.94,"$40,870","$52,220","$68,780","$90,590","$122,590"
"Museums, Historical Sites, and Similar Institutions (71-2100)",80,10.5,$35.30,"$73,420",1.3,$19.65,$25.11,$33.07,$43.55,$58.94,"$40,870","$52,220","$68,780","$90,590","$122,590"
"Amusement, Gambling, and Recreation Industries (71-3000)",90,37.0,$55.49,"$115,420",23.2,$28.12,$34.10,$50.09,$77.92,$80.46,"$58,500","$70,930","$104,190","$162,080","$167,370"
Gambling Industries (71-3200),80,44.7,$58.66,"$122,020",23.5,$28.08,$35.91,$54.61,$80.41,$80.46,"$58,400","$74,700","$113,580","$167,240","$167,370"
Sector 72 - Accommodation and Food Services (72---73),90,16.5,$42.47,"$88,340",3.0,$25.09,$29.32,$37.60,$48.55,$65.62,"$52,180","$60,990","$78,200","$100,980","$136,480"
Accommodation (72-1000),80,18.3,$41.36,"$86,040",3.3,$25.08,$28.35,$36.64,$48.55,$65.48,"$52,170","$58,970","$76,210","$100,980","$136,200"
Traveler Accommodation (72-1100),80,18.3,$41.36,"$86,040",3.3,$25.08,$28.35,$36.64,$48.55,$65.48,"$52,170","$58,970","$76,210","$100,980","$136,200"
Casino Hotels (72-1120),50,6.1,$44.07,"$91,660",1.1,$25.09,$25.85,$36.80,$55.97,$76.94,"$52,180","$53,760","$76,540","$116,420","$160,040"
"Sector 81 - Other Services (except Federal, State, and Local (81---82)","2,340",7.1,$45.25,"$94,120",4.7,$23.92,$31.01,$40.31,$53.55,$73.56,"$49,750","$64,500","$83,840","$111,380","$153,000"
Repair and Maintenance (81-1000),120,22.9,$42.33,"$88,040",10.0,$21.36,$29.24,$39.44,$56.40,$69.24,"$44,420","$60,830","$82,040","$117,310","$144,030"
Electronic and Precision Equipment Repair and Maintenance (81-1200),70,17.2,$36.69,"$76,320",4.6,$18.66,$24.44,$32.24,$43.69,$62.19,"$38,820","$50,830","$67,050","$90,880","$129,350"
Personal and Laundry Services (81-2000),100,18.1,$56.30,"$117,100",6.6,$34.09,$41.87,$48.09,$63.96,$92.72,"$70,900","$87,090","$100,020","$133,030","$192,850"
Other Personal Services (81-2900),70,26.4,$56.31,"$117,120",9.6,$37.50,$42.29,$47.96,$52.60,$105.04,"$78,000","$87,960","$99,750","$109,400","$218,470"
"Religious, Grantmaking, Civic, Professional, and Similar Organizations (81-3000)","2,130",6.8,$44.91,"$93,400",5.0,$23.93,$30.67,$40.09,$53.08,$72.12,"$49,780","$63,790","$83,390","$110,410","$150,000"
Religious Organizations (81-3100),50,22.2,$37.66,"$78,320",4.0,$26.88,$28.07,$37.52,$46.11,$47.84,"$55,920","$58,380","$78,050","$95,920","$99,510"
Grantmaking and Giving Services (81-3200),450,9.9,$44.62,"$92,820",4.5,$26.21,$31.70,$38.89,$52.86,$72.00,"$54,520","$65,940","$80,890","$109,950","$149,760"
Social Advocacy Organizations (81-3300),480,14.2,$41.59,"$86,510",6.0,$26.75,$30.52,$37.78,$48.70,$62.34,"$55,640","$63,490","$78,580","$101,300","$129,670"
Civic and Social Organizations (81-3400),150,24.2,$34.80,"$72,380",6.2,$24.32,$29.56,$31.17,$41.33,$47.22,"$50,590","$61,470","$64,830","$85,960","$98,210"
"Business, Professional, Labor, Political, and Similar Organizations (81-3900)",990,12.3,$48.51,"$100,900",5.9,$20.36,$34.26,$44.93,$59.79,$84.91,"$42,350","$71,250","$93,460","$124,370","$176,610"
Labor Unions and Similar Labor Organizations (81-3930),70,40.2,$46.32,"$96,350",3.5,$33.25,$37.92,$46.94,$51.98,$60.49,"$69,170","$78,880","$97,630","$108,120","$125,830"
"Sector 99 - Federal, State, and Local Government, excluding Schools, Hospitals, and the USPS (99--100)","3,470",1.3,$43.17,"$89,800",0.4,$27.80,$33.92,$41.86,$48.14,$60.11,"$57,820","$70,550","$87,070","$100,130","$125,030"
"Federal, State, and Local Government, excluding Schools, Hospitals, and the USPS (99-9000)","3,470",1.3,$43.17,"$89,800",0.4,$27.80,$33.92,$41.86,$48.14,$60.11,"$57,820","$70,550","$87,070","$100,130","$125,030"
"Federal, State, and Local Government, including Schools, Hospitals, and the USPS (99-9001)","7,990",1.6,$42.60,"$88,600",1.6,$25.71,$31.76,$39.64,$49.03,$62.59,"$53,480","$66,060","$82,460","$101,980","$130,180"
Federal Executive Branch (OEWS Designation) (99-9100),410,0.0,$58.30,"$121,260",0.0,$36.75,$45.83,$57.82,$70.00,$80.58,"$76,440","$95,330","$120,270","$145,600","$167,610"
"Federal Government, including the U.S. Postal Service (OEWS Designation) (99-9101)",410,0.0,$58.30,"$121,260",0.0,$36.75,$45.83,$57.82,$70.00,$80.58,"$76,440","$95,330","$120,270","$145,600","$167,610"
